non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.7,99.7,99.7,99.6,99.5,99.4,99.3,99.1,98.8,98.5,98.2,97.8,97.4,97.0,96.5,96.1,95.6,95.1,94.6,94.1
35,99.1,99.3,99.4,99.3,99.3,99.2,99.0,98.8,98.6,98.3,98.0,97.6,97.3,96.9,96.4,96.0,95.5,95.1,94.6,94.1
40,98.6,98.9,99.0,99.0,99.0,98.9,98.7,98.5,98.3,98.0,97.7,97.4,97.1,96.7,96.3,95.9,95.4,95.0,94.5,94.1
45,97.9,98.4,98.6,98.6,98.6,98.5,98.4,98.2,98.0,97.7,97.5,97.2,96.9,96.5,96.2,95.8,95.4,95.0,94.5,94.1
50,97.1,97.8,98.1,98.2,98.2,98.1,98.0,97.8,97.6,97.4,97.2,96.9,96.7,96.4,96.0,95.7,95.3,94.9,94.5,94.1
55,96.4,97.1,97.5,97.6,97.6,97.6,97.5,97.4,97.2,97.0,96.9,96.7,96.4,96.2,95.9,95.5,95.2,94.8,94.5,94.1
60,95.5,96.4,96.8,96.9,97.0,97.0,97.0,96.9,96.8,96.7,96.6,96.4,96.2,95.9,95.7,95.4,95.1,94.7,94.4,94.1
65,94.7,95.5,96.0,96.3,96.4,96.5,96.4,96.4,96.4,96.3,96.2,96.1,95.9,95.7,95.5,95.2,94.9,94.7,94.4,94.1
70,93.9,94.7,95.3,95.5,95.7,95.8,95.9,95.9,95.9,95.9,95.9,95.7,95.6,95.4,95.2,95.0,94.8,94.6,94.3,94.1
75,93.2,94.0,94.5,94.8,95.1,95.2,95.4,95.5,95.5,95.5,95.4,95.4,95.3,95.1,95.0,94.8,94.7,94.5,94.3,94.1
80,92.6,93.3,93.8,94.2,94.5,94.7,94.9,95.0,95.0,95.0,95.0,95.0,94.9,94.8,94.7,94.6,94.5,94.4,94.2,94.1
85,92.5,93.0,93.4,93.8,94.0,94.2,94.3,94.4,94.5,94.5,94.5,94.6,94.5,94.5,94.4,94.4,94.3,94.3,94.2,94.1
90,92.6,92.9,93.1,93.3,93.5,93.7,93.8,93.9,94.0,94.1,94.1,94.1,94.2,94.2,94.2,94.2,94.2,94.1,94.1,94.1
95,92.9,93.0,93.1,93.2,93.3,93.4,93.5,93.6,93.7,93.7,93.8,93.8,93.9,93.9,94.0,94.0,94.0,94.0,94.0,94.1
98,93.5,93.5,93.6,93.6,93.6,93.7,93.7,93.8,93.8,93.8,93.9,93.9,93.9,93.9,94.0,94.0,94.0,94.0,94.0,94.1
