non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,96.3,97.1,97.0,96.5,95.9,95.0,93.9,92.8,91.5,90.2,88.7,87.2,85.7,84.1,82.6,81.1,79.5,78.0,76.5,75.1
35,93.9,95.4,95.6,95.4,95.0,94.2,93.2,92.2,91.0,89.7,88.3,86.9,85.4,83.9,82.4,81.0,79.5,78.0,76.5,75.1
40,91.3,93.5,94.1,94.2,93.9,93.3,92.4,91.5,90.4,89.2,87.9,86.5,85.1,83.7,82.3,80.8,79.4,77.9,76.5,75.1
45,88.8,91.5,92.5,92.8,92.7,92.2,91.5,90.6,89.6,88.6,87.4,86.1,84.8,83.4,82.0,80.6,79.2,77.8,76.4,75.1
50,86.4,89.6,90.8,91.3,91.4,91.0,90.4,89.7,88.8,87.9,86.8,85.6,84.4,83.1,81.8,80.4,79.1,77.7,76.4,75.1
55,84.2,87.5,89.0,89.7,89.8,89.6,89.2,88.6,87.9,87.1,86.1,85.0,83.9,82.7,81.5,80.2,78.9,77.6,76.3,75.1
60,81.9,85.4,87.1,87.9,88.2,88.1,87.9,87.4,86.9,86.2,85.3,84.4,83.3,82.2,81.1,79.9,78.7,77.5,76.3,75.1
65,80.0,83.4,85.1,86.0,86.4,86.5,86.4,86.1,85.7,85.1,84.4,83.6,82.7,81.7,80.7,79.6,78.5,77.4,76.2,75.1
70,78.3,81.3,83.0,84.0,84.5,84.8,84.8,84.7,84.4,83.9,83.4,82.7,81.9,81.1,80.2,79.3,78.2,77.2,76.1,75.1
75,76.6,79.3,80.9,81.9,82.6,83.0,83.1,83.1,82.9,82.6,82.2,81.6,81.0,80.4,79.6,78.8,77.9,77.0,76.0,75.1
80,75.3,77.4,78.9,79.9,80.6,81.1,81.3,81.4,81.3,81.1,80.8,80.4,80.0,79.5,78.9,78.2,77.5,76.7,75.9,75.1
85,74.4,76.0,77.2,78.0,78.7,79.1,79.4,79.5,79.5,79.5,79.3,79.1,78.8,78.4,78.0,77.5,76.9,76.3,75.7,75.1
90,73.9,74.9,75.7,76.3,76.8,77.1,77.4,77.6,77.7,77.7,77.7,77.6,77.4,77.2,76.9,76.6,76.3,75.9,75.5,75.1
95,74.0,74.4,74.7,75.0,75.2,75.4,75.6,75.7,75.8,75.9,75.9,75.9,75.9,75.8,75.7,75.6,75.5,75.4,75.2,75.1
98,74.8,74.9,75.0,75.0,75.1,75.1,75.1,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.1,75.1,75.1
