non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.9,99.3,99.3,99.3,99.2,99.0,98.6,98.2,97.5,96.9,96.2,95.4,94.6,93.8,92.9,92.0,91.1,90.2,89.3,88.3
35,98.2,98.7,98.8,98.9,98.9,98.7,98.4,97.9,97.3,96.7,96.0,95.2,94.5,93.6,92.8,91.9,91.1,90.2,89.2,88.3
40,97.2,98.1,98.4,98.5,98.5,98.4,98.0,97.6,97.0,96.4,95.7,95.0,94.3,93.5,92.7,91.8,91.0,90.1,89.2,88.3
45,96.4,97.5,97.9,98.1,98.1,97.9,97.6,97.1,96.6,96.1,95.4,94.8,94.1,93.3,92.5,91.7,90.9,90.1,89.2,88.3
50,95.8,97.0,97.4,97.6,97.6,97.4,97.0,96.6,96.2,95.6,95.1,94.5,93.8,93.1,92.4,91.6,90.8,90.0,89.2,88.3
55,95.1,96.3,96.8,96.9,96.9,96.7,96.4,96.0,95.6,95.1,94.6,94.1,93.5,92.8,92.1,91.4,90.7,89.9,89.1,88.3
60,94.4,95.5,95.9,96.1,96.0,95.9,95.7,95.3,95.0,94.6,94.1,93.6,93.1,92.5,91.9,91.2,90.5,89.8,89.1,88.3
65,93.4,94.5,94.9,95.1,95.1,95.0,94.8,94.6,94.3,93.9,93.6,93.1,92.6,92.1,91.5,90.9,90.3,89.7,89.0,88.3
70,92.3,93.2,93.7,93.9,94.0,94.0,93.9,93.7,93.5,93.2,92.9,92.5,92.1,91.7,91.2,90.7,90.1,89.5,88.9,88.3
75,91.0,91.9,92.4,92.7,92.9,92.9,92.9,92.8,92.6,92.4,92.2,91.9,91.5,91.1,90.7,90.3,89.9,89.4,88.9,88.3
80,89.9,90.6,91.1,91.5,91.7,91.8,91.8,91.8,91.7,91.5,91.3,91.1,90.9,90.6,90.3,89.9,89.6,89.2,88.8,88.3
85,88.9,89.5,89.9,90.2,90.4,90.5,90.6,90.6,90.6,90.5,90.4,90.3,90.1,89.9,89.7,89.5,89.2,89.0,88.7,88.3
90,88.1,88.5,88.8,89.0,89.2,89.3,89.4,89.4,89.5,89.5,89.4,89.4,89.3,89.2,89.1,89.0,88.9,88.7,88.5,88.3
95,87.7,87.8,88.0,88.1,88.2,88.3,88.4,88.4,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.4,88.4,88.3
98,87.9,88.0,88.0,88.1,88.1,88.1,88.2,88.2,88.2,88.2,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3
