non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.9,100.0,100.0,100.0,100.0,99.9,99.9,99.8,99.8,99.7,99.6,99.4,99.3,99.1,98.9,98.7,98.4,98.2,97.9,97.6
35,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7,99.6,99.5,99.4,99.2,99.0,98.8,98.6,98.4,98.2,97.9,97.6
40,99.8,99.9,99.9,99.9,99.9,99.8,99.8,99.7,99.7,99.6,99.5,99.3,99.2,99.0,98.8,98.6,98.4,98.2,97.9,97.6
45,99.7,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.6,99.5,99.4,99.3,99.1,98.9,98.8,98.6,98.4,98.1,97.9,97.6
50,99.6,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.5,99.4,99.3,99.2,99.0,98.9,98.7,98.5,98.3,98.1,97.9,97.6
55,99.3,99.5,99.6,99.6,99.6,99.6,99.5,99.4,99.4,99.3,99.2,99.1,98.9,98.8,98.6,98.5,98.3,98.1,97.9,97.6
60,99.1,99.3,99.4,99.4,99.4,99.4,99.4,99.3,99.2,99.2,99.1,99.0,98.8,98.7,98.6,98.4,98.2,98.1,97.8,97.6
65,98.8,99.1,99.2,99.3,99.3,99.2,99.2,99.1,99.1,99.0,98.9,98.8,98.7,98.6,98.5,98.3,98.2,98.0,97.8,97.6
70,98.6,98.8,98.9,99.0,99.0,99.0,99.0,99.0,98.9,98.8,98.8,98.7,98.6,98.5,98.4,98.3,98.1,98.0,97.8,97.6
75,98.2,98.5,98.6,98.7,98.7,98.8,98.8,98.7,98.7,98.6,98.6,98.5,98.4,98.4,98.3,98.2,98.0,97.9,97.8,97.6
80,97.9,98.1,98.3,98.4,98.4,98.5,98.5,98.5,98.4,98.4,98.4,98.3,98.3,98.2,98.1,98.1,98.0,97.9,97.7,97.6
85,97.6,97.8,97.9,98.0,98.1,98.1,98.2,98.2,98.2,98.2,98.1,98.1,98.1,98.0,98.0,97.9,97.9,97.8,97.7,97.6
90,97.4,97.5,97.6,97.7,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.8,97.8,97.8,97.7,97.7,97.6
95,97.4,97.4,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.6,97.6,97.6
98,97.5,97.5,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6
