non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,97.3,98.1,98.4,98.2,97.6,96.6,95.6,94.4,93.2,91.8,90.4,89.0,87.6,86.1,84.7,83.3,81.8,80.4,79.0,77.6
35,96.1,97.4,97.7,97.6,97.0,96.1,95.1,94.0,92.8,91.5,90.2,88.8,87.4,86.0,84.6,83.2,81.8,80.4,79.0,77.6
40,94.9,96.4,96.8,96.7,96.2,95.5,94.5,93.5,92.4,91.1,89.9,88.5,87.2,85.8,84.4,83.1,81.7,80.3,78.9,77.6
45,93.5,95.3,95.8,95.7,95.3,94.6,93.8,92.9,91.8,90.6,89.5,88.2,86.9,85.6,84.2,82.9,81.6,80.2,78.9,77.6
50,92.0,93.9,94.5,94.5,94.2,93.7,93.0,92.1,91.2,90.1,89.0,87.8,86.6,85.3,84.0,82.8,81.5,80.2,78.9,77.6
55,90.3,92.3,93.0,93.1,92.9,92.5,92.0,91.2,90.4,89.4,88.4,87.3,86.1,85.0,83.8,82.6,81.3,80.1,78.8,77.6
60,88.4,90.5,91.3,91.5,91.5,91.2,90.8,90.1,89.4,88.6,87.7,86.7,85.6,84.5,83.4,82.3,81.1,80.0,78.8,77.6
65,86.4,88.4,89.4,89.8,89.9,89.7,89.4,88.9,88.3,87.6,86.8,86.0,85.0,84.0,83.0,82.0,80.9,79.8,78.7,77.6
70,84.4,86.4,87.4,88.0,88.1,88.1,87.9,87.5,87.0,86.4,85.8,85.1,84.3,83.4,82.5,81.6,80.6,79.6,78.6,77.6
75,82.6,84.4,85.4,86.0,86.2,86.3,86.2,85.9,85.6,85.1,84.6,84.0,83.4,82.7,81.9,81.1,80.3,79.4,78.5,77.6
80,81.0,82.4,83.3,83.9,84.2,84.3,84.3,84.2,84.0,83.7,83.3,82.8,82.4,81.8,81.2,80.6,79.9,79.1,78.4,77.6
85,79.4,80.5,81.2,81.7,82.0,82.2,82.3,82.3,82.2,82.0,81.8,81.5,81.2,80.8,80.4,79.9,79.3,78.8,78.2,77.6
90,78.1,78.8,79.3,79.6,79.9,80.1,80.2,80.3,80.3,80.2,80.1,80.0,79.8,79.6,79.3,79.0,78.7,78.4,78.0,77.6
95,77.3,77.5,77.8,77.9,78.1,78.2,78.3,78.3,78.4,78.4,78.4,78.4,78.4,78.3,78.2,78.1,78.0,77.9,77.7,77.6
98,77.4,77.5,77.5,77.6,77.6,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.6,77.6,77.6
