non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,96.1,97.3,97.2,96.3,94.9,93.4,91.6,89.7,87.8,85.8,83.8,81.8,79.9,77.9,76.0,74.2,72.4,70.6,68.9,67.3
35,94.5,96.1,96.2,95.4,94.1,92.7,91.0,89.2,87.4,85.5,83.5,81.6,79.7,77.8,75.9,74.1,72.3,70.6,68.9,67.3
40,92.5,94.5,94.8,94.2,93.2,91.9,90.3,88.6,86.9,85.0,83.2,81.3,79.5,77.6,75.8,74.0,72.3,70.6,68.9,67.3
45,90.4,92.7,93.2,92.8,92.0,90.9,89.4,87.9,86.3,84.5,82.8,81.0,79.2,77.4,75.6,73.9,72.2,70.5,68.9,67.3
50,88.0,90.6,91.3,91.2,90.6,89.7,88.4,87.0,85.5,83.9,82.2,80.5,78.8,77.1,75.4,73.7,72.1,70.4,68.9,67.3
55,85.4,88.2,89.2,89.3,88.9,88.2,87.2,86.0,84.6,83.1,81.6,80.0,78.4,76.7,75.1,73.5,71.9,70.3,68.8,67.3
60,82.7,85.7,86.9,87.2,87.0,86.5,85.7,84.7,83.5,82.2,80.8,79.3,77.8,76.3,74.8,73.2,71.7,70.2,68.8,67.3
65,80.1,83.1,84.4,84.9,84.9,84.5,83.9,83.1,82.1,81.0,79.8,78.5,77.1,75.7,74.3,72.9,71.5,70.1,68.7,67.3
70,77.6,80.3,81.7,82.4,82.5,82.4,81.9,81.3,80.6,79.7,78.6,77.5,76.3,75.1,73.8,72.5,71.2,69.9,68.6,67.3
75,75.2,77.6,79.0,79.7,80.0,79.9,79.7,79.3,78.7,78.0,77.2,76.3,75.3,74.2,73.1,72.0,70.9,69.7,68.5,67.3
80,73.0,74.9,76.1,76.8,77.2,77.3,77.3,77.0,76.6,76.1,75.5,74.8,74.0,73.2,72.3,71.4,70.4,69.4,68.4,67.3
85,70.9,72.3,73.3,73.9,74.3,74.5,74.6,74.5,74.3,73.9,73.5,73.1,72.5,71.9,71.2,70.5,69.8,69.0,68.2,67.3
90,69.2,70.0,70.6,71.1,71.4,71.6,71.7,71.7,71.7,71.5,71.3,71.1,70.7,70.4,70.0,69.5,69.0,68.5,67.9,67.3
95,67.8,68.1,68.4,68.6,68.7,68.9,68.9,69.0,69.0,69.0,68.9,68.9,68.7,68.6,68.5,68.3,68.1,67.8,67.6,67.3
98,67.7,67.7,67.7,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.7,67.7,67.6,67.6,67.5,67.5,67.4,67.3
