non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.4,98.8,98.9,98.9,98.7,98.2,97.6,96.8,95.9,95.0,94.0,93.0,91.9,90.8,89.7,88.6,87.5,86.3,85.2,84.1
35,97.2,98.1,98.4,98.5,98.3,97.9,97.2,96.5,95.6,94.7,93.8,92.8,91.8,90.7,89.6,88.5,87.4,86.3,85.2,84.1
40,96.2,97.4,97.8,97.9,97.8,97.3,96.8,96.1,95.3,94.4,93.5,92.6,91.6,90.5,89.5,88.4,87.3,86.2,85.1,84.1
45,95.3,96.7,97.2,97.3,97.1,96.7,96.2,95.5,94.8,94.0,93.2,92.3,91.3,90.3,89.3,88.3,87.2,86.2,85.1,84.1
50,94.3,95.8,96.3,96.5,96.3,95.9,95.5,94.9,94.3,93.6,92.8,91.9,91.0,90.1,89.1,88.1,87.1,86.1,85.1,84.1
55,93.2,94.8,95.3,95.4,95.3,95.0,94.6,94.2,93.6,93.0,92.3,91.5,90.6,89.8,88.9,87.9,87.0,86.0,85.0,84.1
60,92.0,93.5,94.1,94.3,94.2,94.0,93.7,93.3,92.8,92.3,91.6,90.9,90.2,89.4,88.6,87.7,86.8,85.9,85.0,84.1
65,90.6,92.0,92.7,92.9,93.0,92.9,92.7,92.4,92.0,91.5,90.9,90.3,89.7,89.0,88.2,87.4,86.6,85.8,84.9,84.1
70,89.1,90.4,91.1,91.5,91.6,91.6,91.5,91.3,91.0,90.5,90.1,89.6,89.0,88.4,87.8,87.1,86.4,85.6,84.8,84.1
75,87.6,88.8,89.5,90.0,90.2,90.3,90.2,90.1,89.8,89.5,89.2,88.8,88.3,87.8,87.3,86.7,86.1,85.4,84.7,84.1
80,86.2,87.2,87.9,88.4,88.6,88.8,88.8,88.7,88.6,88.4,88.1,87.8,87.5,87.1,86.7,86.2,85.7,85.2,84.6,84.1
85,85.0,85.8,86.4,86.8,87.0,87.2,87.3,87.3,87.2,87.1,86.9,86.8,86.5,86.3,86.0,85.6,85.3,84.9,84.5,84.1
90,84.0,84.5,84.9,85.2,85.4,85.6,85.7,85.7,85.7,85.7,85.7,85.6,85.5,85.4,85.2,85.0,84.8,84.6,84.3,84.1
95,83.4,83.6,83.8,84.0,84.1,84.2,84.3,84.3,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.3,84.3,84.2,84.1,84.1
98,83.7,83.7,83.8,83.8,83.9,83.9,83.9,84.0,84.0,84.0,84.0,84.0,84.0,84.1,84.1,84.1,84.1,84.1,84.1,84.1
