non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,95.1,96.1,96.0,95.4,94.5,93.3,91.9,90.4,88.7,86.9,85.1,83.3,81.5,79.7,77.8,76.1,74.4,72.7,71.1,69.5
35,92.3,94.2,94.5,94.2,93.4,92.4,91.1,89.7,88.2,86.5,84.8,83.0,81.2,79.5,77.7,76.0,74.3,72.6,71.1,69.5
40,89.3,92.0,92.8,92.8,92.2,91.3,90.2,88.9,87.5,85.9,84.3,82.6,80.9,79.2,77.5,75.8,74.2,72.6,71.0,69.5
45,86.5,89.8,90.9,91.2,90.9,90.1,89.2,88.0,86.7,85.3,83.8,82.2,80.6,78.9,77.3,75.7,74.1,72.5,71.0,69.5
50,83.8,87.5,88.9,89.5,89.3,88.8,88.0,87.0,85.8,84.5,83.1,81.7,80.2,78.6,77.0,75.5,73.9,72.4,71.0,69.5
55,81.2,85.1,86.8,87.5,87.5,87.2,86.6,85.8,84.8,83.7,82.4,81.1,79.7,78.2,76.7,75.3,73.8,72.3,70.9,69.5
60,78.6,82.7,84.6,85.4,85.6,85.5,85.1,84.5,83.7,82.7,81.6,80.4,79.1,77.8,76.4,75.0,73.6,72.2,70.9,69.5
65,76.4,80.3,82.2,83.1,83.6,83.7,83.5,83.1,82.4,81.6,80.7,79.6,78.5,77.2,76.0,74.7,73.4,72.1,70.8,69.5
70,74.3,77.7,79.7,80.8,81.5,81.7,81.7,81.4,80.9,80.3,79.5,78.7,77.7,76.6,75.4,74.3,73.1,71.9,70.7,69.5
75,72.4,75.4,77.3,78.5,79.2,79.6,79.7,79.6,79.3,78.8,78.2,77.5,76.7,75.8,74.8,73.8,72.7,71.7,70.6,69.5
80,70.8,73.3,75.1,76.2,76.9,77.4,77.6,77.6,77.4,77.1,76.7,76.2,75.5,74.8,74.0,73.2,72.3,71.4,70.5,69.5
85,69.8,71.6,72.9,73.9,74.6,75.0,75.3,75.4,75.4,75.2,75.0,74.6,74.1,73.6,73.0,72.4,71.7,71.0,70.3,69.5
90,69.2,70.3,71.1,71.8,72.3,72.6,72.9,73.0,73.1,73.1,72.9,72.7,72.5,72.2,71.8,71.4,71.0,70.5,70.0,69.5
95,68.9,69.3,69.7,70.0,70.2,70.4,70.5,70.6,70.7,70.7,70.7,70.7,70.6,70.5,70.4,70.3,70.1,69.9,69.7,69.5
98,69.4,69.5,69.6,69.6,69.7,69.7,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.7,69.7,69.7,69.6,69.6,69.5
