non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,96.1,97.4,97.9,98.1,98.3,98.4,98.5,98.5,98.5,98.4,98.2,97.9,97.4,97.0,96.5,96.1,95.6,95.2,94.7,94.3
35,95.0,96.7,97.4,97.8,98.0,98.2,98.3,98.3,98.3,98.2,98.0,97.7,97.3,96.9,96.4,96.0,95.5,95.1,94.7,94.3
40,94.1,96.1,97.0,97.5,97.8,97.9,98.0,98.1,98.1,98.0,97.8,97.5,97.1,96.7,96.3,95.9,95.5,95.1,94.7,94.3
45,93.6,95.7,96.7,97.2,97.5,97.7,97.8,97.8,97.8,97.7,97.5,97.3,96.9,96.5,96.2,95.8,95.4,95.0,94.7,94.3
50,93.3,95.4,96.3,96.8,97.1,97.4,97.5,97.6,97.6,97.5,97.3,97.0,96.7,96.4,96.0,95.7,95.3,95.0,94.6,94.3
55,93.0,94.9,95.9,96.4,96.8,97.1,97.3,97.3,97.3,97.1,96.9,96.7,96.4,96.1,95.9,95.5,95.2,94.9,94.6,94.3
60,92.7,94.5,95.5,96.1,96.5,96.8,97.0,97.0,96.9,96.8,96.6,96.4,96.2,95.9,95.7,95.4,95.1,94.9,94.6,94.3
65,92.4,94.2,95.2,95.8,96.2,96.5,96.6,96.6,96.5,96.4,96.2,96.1,95.9,95.7,95.5,95.2,95.0,94.8,94.6,94.3
70,92.5,94.0,94.9,95.5,95.8,96.0,96.0,96.0,96.0,95.9,95.8,95.7,95.6,95.4,95.2,95.1,94.9,94.7,94.5,94.3
75,92.5,93.7,94.5,94.9,95.1,95.3,95.4,95.5,95.5,95.5,95.4,95.3,95.3,95.1,95.0,94.9,94.8,94.6,94.5,94.3
80,92.2,93.1,93.7,94.1,94.4,94.6,94.8,94.9,94.9,95.0,95.0,94.9,94.9,94.8,94.8,94.7,94.6,94.5,94.4,94.3
85,91.7,92.5,93.0,93.4,93.7,94.0,94.1,94.3,94.4,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.4,94.4,94.3
90,91.7,92.2,92.6,92.9,93.2,93.4,93.6,93.7,93.9,94.0,94.0,94.1,94.2,94.2,94.3,94.3,94.3,94.3,94.3,94.3
95,92.4,92.6,92.8,92.9,93.1,93.2,93.4,93.5,93.6,93.7,93.8,93.9,93.9,94.0,94.1,94.1,94.2,94.2,94.3,94.3
98,93.3,93.4,93.5,93.6,93.6,93.7,93.7,93.8,93.8,93.9,93.9,94.0,94.0,94.1,94.1,94.2,94.2,94.2,94.3,94.3
