non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.9,99.1,99.0,98.7,98.1,97.3,96.4,95.2,93.9,92.4,90.9,89.3,87.7,86.0,84.3,82.6,80.9,79.2,77.6,76.0
35,98.1,98.6,98.6,98.3,97.7,97.0,96.1,94.9,93.7,92.3,90.8,89.2,87.6,85.9,84.2,82.5,80.9,79.2,77.6,76.0
40,97.2,98.0,98.0,97.8,97.3,96.6,95.7,94.6,93.4,92.0,90.5,89.0,87.4,85.8,84.1,82.5,80.8,79.2,77.6,76.0
45,96.1,97.1,97.3,97.1,96.7,96.1,95.2,94.2,93.0,91.7,90.3,88.8,87.2,85.6,84.0,82.4,80.7,79.1,77.6,76.0
50,94.7,96.0,96.4,96.3,96.0,95.4,94.6,93.6,92.5,91.3,89.9,88.5,87.0,85.4,83.8,82.2,80.7,79.1,77.5,76.0
55,93.0,94.8,95.3,95.3,95.1,94.6,93.9,93.0,91.9,90.8,89.5,88.1,86.7,85.2,83.6,82.1,80.6,79.0,77.5,76.0
60,91.3,93.3,94.0,94.1,94.0,93.6,92.9,92.2,91.2,90.1,88.9,87.7,86.3,84.9,83.4,81.9,80.4,78.9,77.5,76.0
65,89.4,91.6,92.4,92.7,92.6,92.3,91.8,91.1,90.3,89.3,88.3,87.1,85.8,84.5,83.1,81.7,80.3,78.8,77.4,76.0
70,87.5,89.6,90.6,91.0,91.0,90.8,90.4,89.8,89.1,88.3,87.4,86.3,85.2,83.9,82.7,81.4,80.0,78.7,77.3,76.0
75,85.4,87.4,88.5,89.0,89.1,89.0,88.7,88.3,87.7,87.0,86.2,85.3,84.3,83.3,82.1,80.9,79.7,78.5,77.3,76.0
80,83.4,85.2,86.2,86.7,86.9,86.9,86.7,86.4,86.0,85.5,84.8,84.1,83.3,82.3,81.4,80.4,79.3,78.2,77.1,76.0
85,81.6,82.9,83.7,84.2,84.4,84.5,84.4,84.2,84.0,83.6,83.1,82.5,81.9,81.2,80.4,79.6,78.8,77.9,76.9,76.0
90,79.7,80.5,81.0,81.4,81.6,81.7,81.7,81.7,81.5,81.3,80.9,80.6,80.1,79.7,79.1,78.6,78.0,77.4,76.7,76.0
95,77.9,78.2,78.4,78.5,78.6,78.7,78.7,78.6,78.6,78.4,78.3,78.2,78.0,77.8,77.5,77.3,77.0,76.7,76.3,76.0
98,77.1,77.1,77.1,77.1,77.1,77.1,77.0,77.0,76.9,76.9,76.8,76.8,76.7,76.6,76.5,76.4,76.3,76.2,76.1,76.0
