non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.8,99.2,99.2,99.2,99.0,98.8,98.4,98.0,97.5,97.0,96.3,95.7,94.9,94.2,93.3,92.5,91.6,90.6,89.7,88.7
35,98.1,98.7,98.9,98.8,98.7,98.5,98.2,97.8,97.3,96.8,96.2,95.5,94.8,94.0,93.2,92.4,91.5,90.6,89.7,88.7
40,97.4,98.2,98.4,98.5,98.4,98.2,97.9,97.5,97.0,96.5,96.0,95.3,94.6,93.9,93.1,92.3,91.5,90.6,89.6,88.7
45,96.5,97.6,97.9,98.0,97.9,97.8,97.5,97.1,96.7,96.2,95.7,95.1,94.4,93.7,93.0,92.2,91.4,90.5,89.6,88.7
50,95.7,96.9,97.3,97.4,97.4,97.3,97.0,96.7,96.3,95.9,95.4,94.8,94.2,93.6,92.8,92.1,91.3,90.5,89.6,88.7
55,94.8,96.1,96.6,96.8,96.8,96.7,96.5,96.2,95.9,95.5,95.0,94.5,94.0,93.3,92.7,91.9,91.2,90.4,89.6,88.7
60,93.7,95.1,95.7,96.0,96.0,96.0,95.9,95.6,95.4,95.0,94.6,94.1,93.6,93.1,92.4,91.8,91.1,90.3,89.5,88.7
65,92.6,94.1,94.8,95.1,95.2,95.2,95.2,95.0,94.7,94.4,94.1,93.7,93.2,92.7,92.2,91.6,90.9,90.2,89.5,88.7
70,91.5,92.9,93.7,94.1,94.3,94.4,94.3,94.2,94.0,93.8,93.5,93.2,92.8,92.3,91.8,91.3,90.7,90.1,89.4,88.7
75,90.5,91.8,92.6,93.0,93.3,93.4,93.4,93.4,93.3,93.1,92.8,92.6,92.2,91.9,91.4,91.0,90.5,89.9,89.3,88.7
80,89.6,90.7,91.4,91.9,92.2,92.3,92.4,92.4,92.4,92.3,92.1,91.9,91.6,91.3,91.0,90.6,90.2,89.7,89.2,88.7
85,88.9,89.7,90.3,90.7,91.0,91.2,91.3,91.4,91.4,91.3,91.2,91.1,90.9,90.7,90.4,90.1,89.8,89.5,89.1,88.7
90,88.4,89.0,89.3,89.6,89.9,90.0,90.1,90.2,90.2,90.2,90.2,90.1,90.1,89.9,89.8,89.6,89.4,89.2,89.0,88.7
95,88.2,88.4,88.6,88.7,88.9,89.0,89.0,89.1,89.1,89.2,89.2,89.2,89.1,89.1,89.1,89.0,89.0,88.9,88.8,88.7
98,88.6,88.6,88.6,88.7,88.7,88.7,88.7,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.7,88.7,88.7
