non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.7,99.1,99.1,99.1,99.0,98.7,98.2,97.6,96.8,96.1,95.2,94.3,93.4,92.5,91.5,90.5,89.5,88.5,87.4,86.4
35,97.7,98.4,98.6,98.7,98.6,98.4,97.9,97.3,96.6,95.8,95.0,94.2,93.3,92.3,91.4,90.4,89.4,88.4,87.4,86.4
40,96.7,97.8,98.2,98.3,98.2,98.0,97.5,96.9,96.3,95.5,94.8,93.9,93.1,92.2,91.3,90.3,89.3,88.4,87.4,86.4
45,95.9,97.2,97.6,97.8,97.7,97.4,97.0,96.4,95.8,95.2,94.4,93.7,92.8,92.0,91.1,90.2,89.3,88.3,87.4,86.4
50,95.1,96.5,97.0,97.1,97.0,96.7,96.3,95.9,95.3,94.7,94.1,93.3,92.6,91.7,90.9,90.0,89.2,88.2,87.3,86.4
55,94.3,95.6,96.1,96.3,96.2,95.9,95.6,95.2,94.7,94.2,93.6,92.9,92.2,91.5,90.7,89.9,89.0,88.2,87.3,86.4
60,93.3,94.6,95.1,95.3,95.2,95.0,94.8,94.4,94.0,93.6,93.0,92.4,91.8,91.1,90.4,89.6,88.9,88.1,87.2,86.4
65,92.2,93.4,93.9,94.1,94.1,94.0,93.8,93.6,93.2,92.9,92.4,91.9,91.3,90.7,90.0,89.4,88.7,87.9,87.2,86.4
70,90.8,91.9,92.5,92.8,92.9,92.9,92.8,92.6,92.4,92.0,91.6,91.2,90.7,90.2,89.6,89.1,88.4,87.8,87.1,86.4
75,89.5,90.5,91.1,91.5,91.6,91.7,91.7,91.6,91.4,91.1,90.8,90.4,90.1,89.6,89.2,88.7,88.1,87.6,87.0,86.4
80,88.2,89.1,89.7,90.1,90.3,90.4,90.4,90.4,90.3,90.1,89.9,89.6,89.3,89.0,88.6,88.2,87.8,87.4,86.9,86.4
85,87.1,87.8,88.3,88.6,88.9,89.0,89.1,89.1,89.0,89.0,88.8,88.7,88.5,88.3,88.0,87.7,87.4,87.1,86.8,86.4
90,86.3,86.7,87.0,87.3,87.5,87.6,87.7,87.8,87.8,87.8,87.7,87.7,87.6,87.5,87.3,87.2,87.0,86.8,86.6,86.4
95,85.8,85.9,86.1,86.2,86.3,86.4,86.5,86.6,86.6,86.6,86.7,86.7,86.7,86.7,86.6,86.6,86.6,86.5,86.5,86.4
98,86.0,86.1,86.1,86.2,86.2,86.2,86.3,86.3,86.3,86.3,86.3,86.3,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4
