non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,94.4,90.4,83.0,75.1,68.0,61.9,56.6,52.1,48.3,44.9,42.0,39.4,37.2,35.1,33.3,31.7,30.2,28.8,27.6,26.4
35,91.8,88.8,82.0,74.5,67.6,61.5,56.4,51.9,48.1,44.8,41.9,39.4,37.1,35.1,33.3,31.7,30.2,28.8,27.6,26.4
40,88.2,86.6,80.6,73.5,66.9,61.1,56.0,51.7,47.9,44.7,41.8,39.3,37.1,35.0,33.2,31.6,30.2,28.8,27.6,26.4
45,83.9,83.8,78.7,72.3,66.1,60.4,55.6,51.4,47.7,44.5,41.7,39.2,37.0,35.0,33.2,31.6,30.1,28.8,27.6,26.4
50,78.8,80.4,76.4,70.7,64.9,59.6,55.0,50.9,47.3,44.2,41.5,39.0,36.8,34.9,33.1,31.5,30.1,28.8,27.6,26.4
55,73.2,76.4,73.6,68.7,63.5,58.6,54.2,50.3,46.9,43.9,41.2,38.8,36.7,34.8,33.0,31.5,30.1,28.7,27.5,26.4
60,67.4,71.8,70.2,66.3,61.7,57.3,53.2,49.6,46.3,43.4,40.8,38.6,36.5,34.6,32.9,31.4,30.0,28.7,27.5,26.4
65,61.4,66.7,66.3,63.4,59.5,55.6,51.9,48.6,45.5,42.9,40.4,38.2,36.2,34.4,32.8,31.3,29.9,28.7,27.5,26.4
70,55.7,61.1,61.8,59.8,56.8,53.5,50.4,47.3,44.6,42.1,39.8,37.7,35.9,34.1,32.6,31.1,29.8,28.6,27.5,26.4
75,50.1,55.2,56.5,55.6,53.5,50.9,48.3,45.7,43.3,41.1,39.0,37.1,35.4,33.8,32.3,30.9,29.7,28.5,27.4,26.4
80,45.0,49.1,50.7,50.6,49.4,47.6,45.6,43.6,41.6,39.7,37.9,36.2,34.7,33.2,31.9,30.7,29.5,28.4,27.4,26.4
85,40.3,43.2,44.5,44.8,44.3,43.4,42.1,40.7,39.2,37.8,36.3,35.0,33.7,32.5,31.3,30.2,29.2,28.2,27.3,26.4
90,36.0,37.5,38.3,38.6,38.5,38.1,37.5,36.7,35.9,35.0,34.0,33.1,32.2,31.3,30.4,29.5,28.7,27.9,27.2,26.4
95,31.7,32.1,32.3,32.4,32.3,32.2,32.0,31.7,31.4,31.0,30.6,30.2,29.7,29.3,28.8,28.3,27.9,27.4,26.9,26.4
98,29.3,29.3,29.2,29.1,29.0,28.9,28.8,28.6,28.5,28.3,28.2,28.0,27.8,27.7,27.5,27.3,27.1,26.9,26.6,26.4
