non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,95.3,96.5,95.9,94.4,92.5,90.3,87.9,85.5,83.1,80.6,78.2,75.8,73.6,71.4,69.2,67.2,65.3,63.4,61.6,60.0
35,93.1,94.9,94.6,93.3,91.6,89.5,87.3,85.0,82.7,80.3,77.9,75.6,73.4,71.2,69.1,67.1,65.2,63.4,61.6,60.0
40,90.7,93.0,93.0,92.0,90.5,88.6,86.6,84.4,82.1,79.9,77.6,75.4,73.2,71.1,69.0,67.0,65.2,63.3,61.6,60.0
45,88.0,90.7,91.0,90.5,89.2,87.5,85.6,83.6,81.5,79.3,77.2,75.0,72.9,70.9,68.8,66.9,65.1,63.3,61.6,60.0
50,85.0,88.0,88.8,88.6,87.6,86.2,84.5,82.7,80.7,78.7,76.6,74.6,72.6,70.6,68.6,66.8,65.0,63.2,61.6,60.0
55,81.8,85.3,86.4,86.3,85.7,84.6,83.2,81.5,79.8,77.9,75.9,74.0,72.1,70.2,68.4,66.6,64.8,63.1,61.5,60.0
60,78.7,82.3,83.6,83.9,83.5,82.7,81.5,80.1,78.6,76.9,75.1,73.4,71.6,69.8,68.0,66.3,64.7,63.0,61.5,60.0
65,75.6,79.1,80.6,81.2,81.0,80.5,79.6,78.5,77.2,75.7,74.1,72.5,70.9,69.3,67.6,66.0,64.4,62.9,61.4,60.0
70,72.7,75.9,77.5,78.2,78.3,78.0,77.4,76.5,75.5,74.2,72.9,71.5,70.1,68.6,67.1,65.6,64.2,62.7,61.3,60.0
75,69.9,72.7,74.2,75.0,75.3,75.2,74.8,74.2,73.4,72.5,71.4,70.3,69.1,67.8,66.5,65.1,63.8,62.5,61.2,60.0
80,67.2,69.5,70.8,71.7,72.1,72.1,72.0,71.6,71.1,70.4,69.6,68.7,67.8,66.7,65.6,64.5,63.4,62.2,61.1,60.0
85,64.8,66.5,67.6,68.3,68.7,68.9,68.9,68.7,68.4,68.0,67.5,66.8,66.1,65.4,64.5,63.7,62.8,61.8,60.9,60.0
90,62.7,63.7,64.4,65.0,65.3,65.5,65.6,65.6,65.5,65.2,65.0,64.6,64.2,63.7,63.1,62.6,61.9,61.3,60.6,60.0
95,61.1,61.5,61.8,62.0,62.1,62.2,62.3,62.3,62.3,62.2,62.1,62.0,61.8,61.6,61.4,61.2,60.9,60.6,60.3,60.0
98,60.7,60.7,60.7,60.8,60.8,60.8,60.8,60.8,60.7,60.7,60.7,60.6,60.6,60.5,60.4,60.3,60.3,60.2,60.1,60.0
