non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.5,99.7,99.7,99.7,99.7,99.6,99.5,99.4,99.2,99.0,98.8,98.5,98.2,97.8,97.5,97.1,96.7,96.2,95.8,95.3
35,99.2,99.5,99.5,99.6,99.5,99.5,99.4,99.2,99.1,98.9,98.7,98.4,98.1,97.8,97.4,97.0,96.6,96.2,95.8,95.3
40,98.9,99.2,99.4,99.4,99.4,99.3,99.2,99.1,98.9,98.8,98.5,98.3,98.0,97.7,97.3,97.0,96.6,96.2,95.7,95.3
45,98.5,98.9,99.1,99.2,99.2,99.1,99.0,98.9,98.8,98.6,98.4,98.2,97.9,97.6,97.3,96.9,96.5,96.2,95.7,95.3
50,98.0,98.6,98.8,98.9,98.9,98.9,98.8,98.7,98.6,98.4,98.2,98.0,97.7,97.5,97.2,96.8,96.5,96.1,95.7,95.3
55,97.6,98.3,98.5,98.6,98.6,98.6,98.6,98.5,98.4,98.2,98.0,97.8,97.6,97.3,97.0,96.7,96.4,96.1,95.7,95.3
60,97.2,97.8,98.1,98.3,98.3,98.3,98.3,98.2,98.1,98.0,97.8,97.6,97.4,97.2,96.9,96.6,96.3,96.0,95.7,95.3
65,96.7,97.4,97.7,97.9,97.9,98.0,97.9,97.9,97.8,97.7,97.5,97.4,97.2,97.0,96.7,96.5,96.2,95.9,95.6,95.3
70,96.2,96.9,97.2,97.4,97.5,97.6,97.5,97.5,97.4,97.3,97.2,97.1,96.9,96.8,96.6,96.3,96.1,95.9,95.6,95.3
75,95.7,96.3,96.7,96.9,97.0,97.1,97.1,97.1,97.0,97.0,96.9,96.8,96.7,96.5,96.4,96.2,96.0,95.8,95.5,95.3
80,95.3,95.8,96.1,96.3,96.5,96.5,96.6,96.6,96.6,96.6,96.5,96.4,96.4,96.3,96.1,96.0,95.8,95.7,95.5,95.3
85,94.8,95.2,95.5,95.7,95.9,96.0,96.1,96.1,96.1,96.1,96.1,96.1,96.0,96.0,95.9,95.8,95.7,95.6,95.4,95.3
90,94.6,94.9,95.1,95.2,95.4,95.5,95.5,95.6,95.6,95.7,95.7,95.7,95.7,95.6,95.6,95.6,95.5,95.4,95.4,95.3
95,94.7,94.8,94.9,95.0,95.0,95.1,95.2,95.2,95.2,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3
98,95.0,95.0,95.1,95.1,95.1,95.1,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.3,95.3,95.3,95.3,95.3,95.3,95.3
