non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,95.8,97.2,97.8,98.1,98.2,98.4,98.4,98.4,98.3,98.2,97.9,97.5,97.0,96.5,96.0,95.5,95.0,94.6,94.1,93.6
35,94.7,96.5,97.3,97.7,98.0,98.1,98.2,98.2,98.1,97.9,97.7,97.3,96.8,96.3,95.9,95.4,95.0,94.5,94.1,93.6
40,93.9,95.9,96.9,97.4,97.7,97.8,97.9,97.9,97.9,97.7,97.4,97.0,96.6,96.2,95.8,95.3,94.9,94.5,94.1,93.6
45,93.4,95.5,96.5,97.0,97.3,97.5,97.6,97.7,97.6,97.4,97.1,96.8,96.4,96.0,95.6,95.2,94.8,94.5,94.1,93.6
50,93.1,95.1,96.0,96.6,97.0,97.2,97.3,97.4,97.3,97.1,96.8,96.5,96.2,95.8,95.5,95.1,94.8,94.4,94.0,93.6
55,92.5,94.6,95.6,96.2,96.6,96.9,97.0,97.0,96.9,96.7,96.5,96.2,95.9,95.6,95.3,95.0,94.7,94.3,94.0,93.6
60,92.2,94.1,95.2,95.9,96.3,96.5,96.6,96.6,96.4,96.3,96.1,95.9,95.6,95.4,95.1,94.8,94.6,94.3,94.0,93.6
65,92.0,93.8,94.8,95.5,95.9,96.1,96.1,96.0,96.0,95.9,95.7,95.5,95.3,95.1,94.9,94.7,94.4,94.2,93.9,93.6
70,91.9,93.5,94.4,95.0,95.3,95.4,95.4,95.5,95.5,95.4,95.3,95.2,95.0,94.8,94.7,94.5,94.3,94.1,93.9,93.6
75,91.8,93.0,93.7,94.1,94.4,94.7,94.8,94.9,94.9,94.9,94.8,94.7,94.7,94.5,94.4,94.3,94.2,94.0,93.8,93.6
80,91.1,92.1,92.8,93.3,93.7,94.0,94.1,94.2,94.3,94.3,94.3,94.3,94.3,94.2,94.2,94.1,94.0,93.9,93.8,93.6
85,90.7,91.6,92.2,92.6,93.0,93.2,93.4,93.6,93.7,93.8,93.8,93.9,93.9,93.9,93.9,93.9,93.8,93.8,93.7,93.6
90,90.8,91.3,91.8,92.1,92.4,92.7,92.9,93.0,93.2,93.3,93.4,93.5,93.5,93.6,93.6,93.7,93.7,93.7,93.7,93.6
95,91.5,91.7,92.0,92.2,92.3,92.5,92.7,92.8,92.9,93.0,93.1,93.2,93.3,93.4,93.4,93.5,93.5,93.6,93.6,93.6
98,92.6,92.7,92.8,92.9,92.9,93.0,93.1,93.1,93.2,93.2,93.3,93.3,93.4,93.4,93.4,93.5,93.5,93.6,93.6,93.6
