non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.3,99.5,99.6,99.6,99.5,99.4,99.2,99.0,98.8,98.5,98.1,97.7,97.3,96.9,96.4,95.9,95.3,94.7,94.1,93.5
35,98.9,99.2,99.4,99.4,99.3,99.2,99.1,98.9,98.6,98.3,98.0,97.6,97.2,96.8,96.3,95.8,95.3,94.7,94.1,93.5
40,98.4,98.9,99.1,99.1,99.1,99.0,98.9,98.7,98.5,98.2,97.9,97.5,97.1,96.7,96.2,95.7,95.2,94.7,94.1,93.5
45,97.9,98.5,98.8,98.8,98.8,98.7,98.6,98.5,98.3,98.0,97.7,97.3,97.0,96.6,96.1,95.6,95.1,94.6,94.1,93.5
50,97.4,98.1,98.4,98.5,98.5,98.4,98.3,98.2,98.0,97.7,97.5,97.1,96.8,96.4,96.0,95.5,95.1,94.6,94.0,93.5
55,96.7,97.6,97.9,98.1,98.1,98.1,98.0,97.9,97.7,97.4,97.2,96.9,96.6,96.2,95.9,95.4,95.0,94.5,94.0,93.5
60,96.2,97.1,97.5,97.6,97.7,97.7,97.6,97.5,97.3,97.1,96.9,96.6,96.4,96.0,95.7,95.3,94.9,94.5,94.0,93.5
65,95.5,96.4,96.9,97.1,97.2,97.2,97.1,97.0,96.9,96.7,96.6,96.3,96.1,95.8,95.5,95.1,94.8,94.4,93.9,93.5
70,94.9,95.7,96.2,96.4,96.6,96.6,96.6,96.5,96.5,96.3,96.2,96.0,95.8,95.5,95.2,94.9,94.6,94.3,93.9,93.5
75,94.2,95.0,95.4,95.7,95.9,96.0,96.0,96.0,95.9,95.9,95.7,95.6,95.4,95.2,95.0,94.7,94.5,94.2,93.8,93.5
80,93.5,94.2,94.7,95.0,95.2,95.3,95.4,95.4,95.4,95.3,95.3,95.1,95.0,94.9,94.7,94.5,94.3,94.0,93.8,93.5
85,93.1,93.6,94.0,94.3,94.5,94.6,94.7,94.7,94.8,94.7,94.7,94.6,94.6,94.5,94.4,94.2,94.1,93.9,93.7,93.5
90,92.8,93.1,93.4,93.6,93.8,93.9,94.0,94.1,94.1,94.1,94.1,94.1,94.1,94.0,94.0,93.9,93.8,93.7,93.6,93.5
95,92.8,93.0,93.1,93.2,93.3,93.3,93.4,93.5,93.5,93.5,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.5,93.5
98,93.2,93.2,93.3,93.3,93.3,93.3,93.4,93.4,93.4,93.4,93.4,93.4,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5
