non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,95.2,96.9,97.5,97.9,98.1,98.2,98.2,98.1,97.8,97.5,96.9,96.4,95.8,95.3,94.7,94.2,93.7,93.1,92.6,92.0
35,94.1,96.2,97.0,97.5,97.7,97.8,97.9,97.8,97.5,97.2,96.7,96.2,95.6,95.1,94.6,94.1,93.6,93.1,92.5,92.0
40,93.4,95.6,96.6,97.0,97.3,97.5,97.5,97.4,97.2,96.8,96.4,95.9,95.4,95.0,94.5,94.0,93.5,93.0,92.5,92.0
45,92.8,95.0,96.0,96.6,96.9,97.1,97.1,97.1,96.8,96.5,96.1,95.7,95.2,94.8,94.4,93.9,93.5,93.0,92.5,92.0
50,92.1,94.4,95.5,96.1,96.5,96.7,96.7,96.6,96.3,96.1,95.7,95.4,95.0,94.6,94.2,93.8,93.4,92.9,92.5,92.0
55,91.5,93.8,95.0,95.6,96.0,96.2,96.2,96.0,95.9,95.6,95.3,95.0,94.7,94.4,94.0,93.7,93.3,92.9,92.4,92.0
60,91.1,93.3,94.4,95.1,95.5,95.6,95.5,95.5,95.3,95.1,94.9,94.7,94.4,94.1,93.8,93.5,93.2,92.8,92.4,92.0
65,90.7,92.7,93.8,94.4,94.7,94.8,94.9,94.9,94.8,94.6,94.5,94.3,94.0,93.8,93.6,93.3,93.0,92.7,92.4,92.0
70,90.3,92.0,92.9,93.4,93.8,94.0,94.2,94.2,94.1,94.1,94.0,93.8,93.7,93.5,93.4,93.1,92.9,92.6,92.3,92.0
75,89.4,90.9,91.8,92.5,93.0,93.2,93.4,93.5,93.5,93.5,93.4,93.4,93.3,93.2,93.1,92.9,92.7,92.5,92.2,92.0
80,88.7,90.1,91.0,91.6,92.0,92.3,92.6,92.7,92.8,92.9,92.9,92.9,92.9,92.9,92.8,92.6,92.5,92.3,92.2,92.0
85,88.4,89.4,90.2,90.7,91.2,91.5,91.8,92.0,92.1,92.3,92.4,92.4,92.5,92.5,92.4,92.4,92.3,92.2,92.1,92.0
90,88.5,89.2,89.7,90.2,90.6,90.9,91.2,91.4,91.6,91.7,91.9,91.9,92.0,92.0,92.0,92.1,92.1,92.1,92.0,92.0
95,89.6,89.9,90.1,90.4,90.6,90.8,90.9,91.1,91.2,91.3,91.4,91.5,91.6,91.7,91.8,91.8,91.9,91.9,92.0,92.0
98,90.8,90.9,91.0,91.1,91.2,91.2,91.3,91.4,91.4,91.5,91.6,91.6,91.7,91.7,91.8,91.8,91.9,91.9,92.0,92.0
