non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.3,99.4,99.5,99.4,99.3,99.1,98.9,98.6,98.2,97.8,97.4,96.9,96.4,95.8,95.3,94.7,94.1,93.5,92.9,92.2
35,98.7,99.0,99.1,99.0,99.0,98.8,98.5,98.2,97.9,97.5,97.1,96.7,96.2,95.7,95.2,94.6,94.1,93.5,92.9,92.2
40,98.0,98.4,98.6,98.6,98.5,98.4,98.1,97.8,97.5,97.2,96.9,96.5,96.0,95.5,95.0,94.5,94.0,93.4,92.8,92.2
45,97.0,97.7,98.0,98.0,98.0,97.8,97.7,97.4,97.1,96.9,96.6,96.2,95.8,95.3,94.9,94.4,93.9,93.4,92.8,92.2
50,96.0,96.9,97.3,97.4,97.4,97.3,97.1,96.9,96.7,96.5,96.3,95.9,95.5,95.1,94.7,94.3,93.8,93.3,92.8,92.2
55,94.9,96.0,96.4,96.6,96.7,96.7,96.6,96.4,96.3,96.1,95.9,95.6,95.3,94.9,94.5,94.1,93.7,93.2,92.7,92.2
60,93.9,95.0,95.5,95.8,96.0,96.0,96.0,95.9,95.8,95.7,95.5,95.2,94.9,94.6,94.3,93.9,93.5,93.1,92.7,92.2
65,92.8,94.0,94.6,95.0,95.2,95.3,95.4,95.4,95.3,95.2,95.0,94.8,94.6,94.3,94.0,93.7,93.4,93.0,92.6,92.2
70,91.9,93.0,93.7,94.1,94.4,94.6,94.8,94.8,94.8,94.7,94.6,94.4,94.2,94.0,93.8,93.5,93.2,92.9,92.6,92.2
75,91.1,92.2,92.9,93.4,93.7,94.0,94.1,94.2,94.2,94.1,94.1,94.0,93.8,93.6,93.5,93.3,93.0,92.8,92.5,92.2
80,90.6,91.5,92.2,92.7,93.0,93.3,93.4,93.5,93.5,93.6,93.5,93.4,93.4,93.3,93.2,93.0,92.8,92.6,92.4,92.2
85,90.5,91.2,91.7,92.0,92.3,92.5,92.7,92.8,92.9,92.9,92.9,92.9,92.9,92.9,92.8,92.7,92.6,92.5,92.4,92.2
90,90.5,90.9,91.2,91.5,91.7,91.9,92.0,92.1,92.2,92.3,92.4,92.4,92.4,92.5,92.4,92.4,92.4,92.3,92.3,92.2
95,90.7,90.9,91.1,91.2,91.4,91.5,91.6,91.7,91.8,91.9,92.0,92.0,92.1,92.1,92.1,92.2,92.2,92.2,92.2,92.2
98,91.6,91.6,91.7,91.7,91.8,91.8,91.8,91.9,91.9,92.0,92.0,92.0,92.1,92.1,92.1,92.1,92.2,92.2,92.2,92.2
