non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.9,99.9,99.9,99.9,99.8,99.8,99.7,99.5,99.3,99.1,98.9,98.6,98.3,97.9,97.6,97.1,96.7,96.2,95.7,95.1
35,99.7,99.8,99.8,99.8,99.7,99.7,99.6,99.4,99.2,99.0,98.8,98.5,98.2,97.9,97.5,97.1,96.7,96.2,95.7,95.1
40,99.5,99.6,99.7,99.7,99.6,99.6,99.5,99.3,99.1,98.9,98.7,98.4,98.1,97.8,97.5,97.1,96.6,96.2,95.7,95.1
45,99.2,99.4,99.5,99.5,99.5,99.4,99.3,99.2,99.0,98.8,98.6,98.3,98.1,97.7,97.4,97.0,96.6,96.1,95.6,95.1
50,98.8,99.2,99.3,99.3,99.3,99.2,99.1,99.0,98.8,98.6,98.4,98.2,97.9,97.6,97.3,96.9,96.5,96.1,95.6,95.1
55,98.4,98.9,99.0,99.1,99.0,99.0,98.9,98.8,98.6,98.5,98.3,98.0,97.8,97.5,97.2,96.9,96.5,96.1,95.6,95.1
60,98.0,98.5,98.7,98.7,98.7,98.7,98.6,98.5,98.4,98.2,98.1,97.9,97.6,97.4,97.1,96.8,96.4,96.0,95.6,95.1
65,97.5,98.0,98.3,98.4,98.4,98.4,98.3,98.2,98.1,98.0,97.8,97.6,97.4,97.2,96.9,96.6,96.3,95.9,95.6,95.1
70,97.0,97.5,97.8,97.9,98.0,98.0,97.9,97.9,97.8,97.7,97.6,97.4,97.2,97.0,96.8,96.5,96.2,95.9,95.5,95.1
75,96.4,97.0,97.2,97.4,97.5,97.5,97.5,97.5,97.4,97.3,97.2,97.1,96.9,96.8,96.5,96.3,96.1,95.8,95.5,95.1
80,95.9,96.3,96.6,96.8,97.0,97.0,97.0,97.0,97.0,96.9,96.9,96.8,96.6,96.5,96.3,96.1,95.9,95.7,95.4,95.1
85,95.4,95.8,96.1,96.2,96.4,96.5,96.5,96.5,96.5,96.5,96.4,96.3,96.3,96.1,96.0,95.9,95.7,95.5,95.3,95.1
90,95.1,95.4,95.5,95.7,95.8,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.8,95.8,95.7,95.6,95.5,95.4,95.3,95.1
95,95.0,95.0,95.1,95.2,95.2,95.3,95.3,95.3,95.3,95.4,95.4,95.4,95.3,95.3,95.3,95.3,95.3,95.2,95.2,95.1
98,95.0,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.2,95.2,95.2,95.2,95.2,95.2,95.1,95.1,95.1,95.1
