non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,89.7,92.3,91.6,90.3,88.4,86.2,83.8,81.3,78.7,76.2,73.8,71.5,69.3,67.3,65.3,63.4,61.6,59.9,58.3,56.7
35,86.6,89.8,89.8,88.9,87.2,85.3,83.1,80.7,78.2,75.8,73.5,71.3,69.2,67.1,65.2,63.3,61.6,59.9,58.3,56.7
40,82.9,87.1,87.9,87.3,85.9,84.2,82.2,80.0,77.7,75.4,73.2,71.0,69.0,67.0,65.1,63.2,61.5,59.8,58.2,56.7
45,79.3,84.4,85.7,85.5,84.5,83.0,81.2,79.2,77.1,74.9,72.8,70.7,68.7,66.8,64.9,63.1,61.4,59.8,58.2,56.7
50,75.8,81.4,83.2,83.5,82.8,81.6,80.1,78.3,76.3,74.3,72.3,70.3,68.4,66.5,64.7,63.0,61.3,59.7,58.2,56.7
55,72.2,78.3,80.5,81.2,80.9,80.1,78.8,77.2,75.4,73.5,71.7,69.8,68.0,66.2,64.5,62.8,61.2,59.7,58.2,56.7
60,69.0,75.0,77.6,78.6,78.7,78.3,77.3,75.9,74.3,72.7,71.0,69.2,67.5,65.9,64.2,62.6,61.1,59.6,58.1,56.7
65,65.7,71.6,74.4,75.8,76.3,76.2,75.5,74.4,73.1,71.7,70.1,68.6,67.0,65.4,63.9,62.4,60.9,59.5,58.1,56.7
70,62.5,68.2,71.2,72.8,73.6,73.8,73.4,72.7,71.6,70.4,69.1,67.7,66.3,64.9,63.5,62.1,60.7,59.3,58.0,56.7
75,59.8,64.9,67.9,69.7,70.6,71.1,71.0,70.6,69.8,68.9,67.8,66.7,65.5,64.2,62.9,61.7,60.4,59.2,57.9,56.7
80,57.5,61.8,64.6,66.4,67.5,68.1,68.2,68.0,67.6,67.0,66.2,65.3,64.3,63.3,62.2,61.2,60.0,58.9,57.8,56.7
85,56.0,59.3,61.6,63.1,64.2,64.8,65.1,65.1,64.9,64.6,64.1,63.5,62.8,62.1,61.3,60.4,59.5,58.6,57.7,56.7
90,55.4,57.4,58.9,60.0,60.8,61.3,61.7,61.9,61.9,61.8,61.6,61.3,60.9,60.5,59.9,59.4,58.8,58.1,57.4,56.7
95,55.5,56.2,56.8,57.3,57.7,58.1,58.3,58.5,58.6,58.7,58.7,58.6,58.5,58.4,58.2,57.9,57.7,57.4,57.1,56.7
98,56.5,56.6,56.8,56.9,57.0,57.1,57.1,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.1,57.1,57.0,56.9,56.8,56.7
