non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.5,99.3,99.2,99.0,98.7,98.5,98.2,97.9,97.5,97.2,96.8,96.4,96.0
35,99.3,99.5,99.6,99.6,99.6,99.6,99.5,99.4,99.2,99.1,98.9,98.7,98.4,98.1,97.8,97.5,97.1,96.8,96.4,96.0
40,99.0,99.3,99.4,99.5,99.5,99.4,99.3,99.2,99.1,99.0,98.8,98.6,98.3,98.1,97.8,97.4,97.1,96.7,96.4,96.0
45,98.7,99.1,99.2,99.3,99.3,99.3,99.2,99.1,99.0,98.8,98.7,98.4,98.2,98.0,97.7,97.4,97.1,96.7,96.4,96.0
50,98.3,98.8,99.0,99.1,99.1,99.0,99.0,98.9,98.8,98.7,98.5,98.3,98.1,97.8,97.6,97.3,97.0,96.7,96.3,96.0
55,98.0,98.5,98.7,98.8,98.8,98.8,98.8,98.7,98.6,98.5,98.3,98.1,97.9,97.7,97.5,97.2,96.9,96.6,96.3,96.0
60,97.6,98.1,98.4,98.5,98.5,98.5,98.5,98.5,98.4,98.3,98.1,98.0,97.8,97.6,97.4,97.1,96.9,96.6,96.3,96.0
65,97.1,97.7,98.0,98.2,98.2,98.2,98.2,98.2,98.1,98.0,97.9,97.7,97.6,97.4,97.2,97.0,96.8,96.5,96.3,96.0
70,96.7,97.3,97.6,97.8,97.9,97.9,97.9,97.9,97.8,97.7,97.6,97.5,97.4,97.2,97.1,96.9,96.7,96.5,96.2,96.0
75,96.3,96.8,97.1,97.3,97.4,97.5,97.5,97.5,97.5,97.4,97.3,97.2,97.1,97.0,96.9,96.7,96.6,96.4,96.2,96.0
80,95.9,96.4,96.6,96.8,97.0,97.0,97.1,97.1,97.1,97.0,97.0,96.9,96.9,96.8,96.7,96.6,96.4,96.3,96.1,96.0
85,95.6,95.9,96.1,96.3,96.4,96.5,96.6,96.6,96.7,96.7,96.6,96.6,96.6,96.5,96.5,96.4,96.3,96.2,96.1,96.0
90,95.3,95.6,95.7,95.9,96.0,96.1,96.1,96.2,96.2,96.3,96.3,96.3,96.3,96.2,96.2,96.2,96.1,96.1,96.0,96.0
95,95.4,95.5,95.6,95.6,95.7,95.8,95.8,95.8,95.9,95.9,95.9,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
98,95.7,95.7,95.7,95.8,95.8,95.8,95.8,95.8,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,96.0,96.0,96.0
