non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,97.8,98.3,98.3,98.0,97.5,97.0,96.4,95.6,94.8,93.9,93.0,92.0,91.0,89.9,88.7,87.6,86.4,85.2,84.0,82.9
35,96.2,97.1,97.3,97.1,96.8,96.3,95.8,95.1,94.4,93.6,92.7,91.7,90.7,89.7,88.6,87.4,86.3,85.2,84.0,82.9
40,94.3,95.7,96.1,96.1,95.9,95.6,95.2,94.5,93.8,93.1,92.3,91.4,90.4,89.4,88.4,87.3,86.2,85.1,84.0,82.9
45,92.3,94.2,94.8,95.0,94.9,94.8,94.4,93.9,93.3,92.6,91.8,91.0,90.1,89.2,88.2,87.1,86.1,85.0,83.9,82.9
50,90.3,92.5,93.4,93.8,93.9,93.8,93.6,93.1,92.6,92.0,91.3,90.5,89.7,88.8,87.9,87.0,86.0,84.9,83.9,82.9
55,88.4,90.9,92.0,92.6,92.8,92.8,92.6,92.3,91.8,91.3,90.7,90.0,89.3,88.5,87.6,86.7,85.8,84.8,83.9,82.9
60,86.8,89.3,90.6,91.3,91.6,91.7,91.6,91.3,91.0,90.6,90.0,89.4,88.8,88.1,87.3,86.5,85.6,84.7,83.8,82.9
65,85.3,87.7,89.1,90.0,90.4,90.5,90.5,90.3,90.0,89.7,89.3,88.8,88.2,87.6,86.9,86.2,85.4,84.6,83.7,82.9
70,83.9,86.3,87.7,88.5,88.9,89.2,89.2,89.1,89.0,88.8,88.4,88.0,87.6,87.1,86.5,85.8,85.1,84.4,83.7,82.9
75,82.9,84.9,86.2,87.0,87.4,87.7,87.9,87.9,87.9,87.7,87.5,87.2,86.9,86.4,86.0,85.4,84.8,84.2,83.6,82.9
80,81.9,83.5,84.6,85.4,85.9,86.3,86.5,86.7,86.7,86.6,86.5,86.3,86.1,85.7,85.4,84.9,84.5,84.0,83.4,82.9
85,81.1,82.3,83.3,84.0,84.5,84.9,85.1,85.3,85.4,85.4,85.4,85.3,85.1,84.9,84.7,84.4,84.1,83.7,83.3,82.9
90,80.9,81.7,82.3,82.8,83.2,83.5,83.8,84.0,84.1,84.2,84.2,84.2,84.1,84.0,83.9,83.8,83.6,83.4,83.1,82.9
95,81.3,81.6,81.9,82.1,82.3,82.5,82.6,82.8,82.9,83.0,83.0,83.1,83.1,83.1,83.1,83.1,83.1,83.0,82.9,82.9
98,82.3,82.3,82.4,82.5,82.5,82.6,82.6,82.7,82.7,82.7,82.8,82.8,82.8,82.8,82.9,82.9,82.9,82.9,82.9,82.9
