non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.1,99.4,99.5,99.5,99.4,99.2,99.0,98.8,98.5,98.1,97.7,97.2,96.7,96.2,95.6,95.0,94.3,93.7,93.0,92.3
35,98.7,99.1,99.2,99.2,99.2,99.0,98.9,98.6,98.3,98.0,97.5,97.1,96.6,96.1,95.5,94.9,94.3,93.6,93.0,92.3
40,98.1,98.7,98.9,98.9,98.9,98.8,98.6,98.4,98.1,97.8,97.4,96.9,96.5,96.0,95.4,94.9,94.2,93.6,92.9,92.3
45,97.6,98.3,98.5,98.6,98.6,98.5,98.3,98.1,97.9,97.5,97.2,96.8,96.3,95.8,95.3,94.8,94.2,93.6,92.9,92.3
50,96.9,97.8,98.1,98.2,98.2,98.1,98.0,97.8,97.6,97.3,96.9,96.6,96.1,95.7,95.2,94.7,94.1,93.5,92.9,92.3
55,96.2,97.2,97.6,97.7,97.8,97.7,97.6,97.4,97.2,96.9,96.6,96.3,95.9,95.5,95.0,94.5,94.0,93.5,92.9,92.3
60,95.5,96.6,97.0,97.2,97.3,97.2,97.1,97.0,96.8,96.6,96.3,96.0,95.6,95.3,94.8,94.4,93.9,93.4,92.8,92.3
65,94.7,95.8,96.3,96.5,96.6,96.7,96.6,96.5,96.3,96.1,95.9,95.6,95.3,95.0,94.6,94.2,93.8,93.3,92.8,92.3
70,93.9,95.0,95.5,95.8,96.0,96.0,96.0,95.9,95.8,95.7,95.5,95.2,95.0,94.7,94.4,94.0,93.6,93.2,92.7,92.3
75,93.1,94.1,94.7,95.0,95.2,95.3,95.3,95.3,95.2,95.1,95.0,94.8,94.6,94.3,94.1,93.8,93.4,93.1,92.7,92.3
80,92.5,93.3,93.8,94.1,94.4,94.5,94.6,94.6,94.6,94.5,94.4,94.3,94.1,93.9,93.7,93.5,93.2,92.9,92.6,92.3
85,91.9,92.6,93.0,93.3,93.5,93.7,93.8,93.8,93.8,93.8,93.8,93.7,93.6,93.5,93.3,93.2,93.0,92.7,92.5,92.3
90,91.6,92.0,92.3,92.5,92.7,92.9,93.0,93.0,93.1,93.1,93.1,93.1,93.0,93.0,92.9,92.8,92.7,92.6,92.4,92.3
95,91.6,91.8,91.9,92.0,92.1,92.2,92.3,92.3,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.3,92.3,92.3
98,92.0,92.0,92.1,92.1,92.1,92.1,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.3,92.3,92.3,92.3,92.3,92.3,92.3
