non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.6,98.9,98.9,98.8,98.6,98.2,97.7,97.2,96.7,96.0,95.3,94.6,93.9,93.1,92.3,91.4,90.6,89.6,88.7,87.8
35,97.6,98.1,98.3,98.2,98.0,97.6,97.2,96.8,96.3,95.7,95.0,94.4,93.7,92.9,92.1,91.3,90.5,89.6,88.7,87.8
40,96.2,97.1,97.4,97.4,97.3,97.0,96.7,96.3,95.9,95.3,94.7,94.1,93.4,92.7,92.0,91.2,90.4,89.5,88.7,87.8
45,94.7,96.0,96.5,96.5,96.5,96.3,96.0,95.8,95.4,94.9,94.3,93.8,93.2,92.5,91.8,91.0,90.3,89.5,88.6,87.8
50,93.2,94.8,95.3,95.6,95.6,95.5,95.4,95.2,94.8,94.4,93.9,93.4,92.8,92.2,91.6,90.9,90.1,89.4,88.6,87.8
55,91.6,93.4,94.2,94.5,94.7,94.7,94.7,94.5,94.2,93.9,93.4,93.0,92.5,91.9,91.3,90.7,90.0,89.3,88.5,87.8
60,90.1,92.0,93.0,93.5,93.8,93.9,93.9,93.8,93.5,93.2,92.9,92.5,92.0,91.6,91.0,90.4,89.8,89.2,88.5,87.8
65,88.9,90.8,91.8,92.4,92.8,93.0,93.1,93.0,92.8,92.6,92.3,92.0,91.6,91.2,90.7,90.2,89.6,89.1,88.4,87.8
70,87.8,89.6,90.7,91.4,91.8,92.1,92.1,92.1,92.0,91.8,91.6,91.4,91.1,90.7,90.3,89.9,89.4,88.9,88.4,87.8
75,86.9,88.6,89.6,90.3,90.8,91.0,91.1,91.1,91.1,91.0,90.9,90.7,90.5,90.2,89.9,89.5,89.2,88.7,88.3,87.8
80,86.4,87.7,88.6,89.2,89.6,89.9,90.0,90.1,90.2,90.2,90.1,90.0,89.8,89.7,89.4,89.2,88.9,88.5,88.2,87.8
85,85.9,86.9,87.5,88.0,88.4,88.7,88.9,89.1,89.2,89.3,89.3,89.2,89.2,89.1,88.9,88.8,88.6,88.3,88.1,87.8
90,85.6,86.2,86.7,87.1,87.5,87.8,88.0,88.1,88.3,88.4,88.4,88.4,88.4,88.4,88.4,88.3,88.2,88.1,87.9,87.8
95,86.1,86.4,86.6,86.8,87.0,87.1,87.3,87.4,87.5,87.6,87.7,87.7,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8
98,87.1,87.2,87.2,87.3,87.3,87.4,87.4,87.5,87.5,87.6,87.6,87.6,87.7,87.7,87.7,87.7,87.7,87.8,87.8,87.8
