non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,94.9,96.7,97.4,97.8,98.0,98.0,98.0,97.8,97.4,96.9,96.3,95.7,95.1,94.6,94.0,93.4,92.8,92.2,91.6,90.9
35,93.9,96.0,96.9,97.3,97.5,97.6,97.7,97.4,97.1,96.6,96.0,95.5,94.9,94.4,93.9,93.3,92.7,92.2,91.6,90.9
40,93.1,95.4,96.3,96.8,97.1,97.2,97.2,97.1,96.7,96.2,95.7,95.2,94.7,94.3,93.7,93.2,92.7,92.1,91.5,90.9
45,92.4,94.7,95.7,96.3,96.6,96.8,96.8,96.6,96.2,95.8,95.4,95.0,94.5,94.1,93.6,93.1,92.6,92.1,91.5,90.9
50,91.6,94.0,95.2,95.8,96.1,96.3,96.2,96.0,95.8,95.4,95.1,94.7,94.3,93.9,93.4,93.0,92.5,92.0,91.5,90.9
55,91.0,93.4,94.6,95.2,95.6,95.7,95.6,95.4,95.2,94.9,94.6,94.3,94.0,93.6,93.3,92.8,92.4,91.9,91.4,90.9
60,90.4,92.7,93.9,94.6,94.8,94.9,94.9,94.8,94.6,94.4,94.2,93.9,93.7,93.4,93.0,92.7,92.3,91.9,91.4,90.9
65,89.8,92.0,93.0,93.6,93.9,94.1,94.2,94.1,94.0,93.9,93.7,93.5,93.3,93.1,92.8,92.5,92.1,91.8,91.4,90.9
70,89.0,90.9,91.9,92.6,93.0,93.2,93.3,93.4,93.4,93.3,93.2,93.1,92.9,92.8,92.5,92.2,92.0,91.6,91.3,90.9
75,88.0,89.7,90.8,91.6,92.0,92.3,92.5,92.6,92.7,92.7,92.7,92.6,92.5,92.4,92.2,92.0,91.8,91.5,91.2,90.9
80,87.3,88.8,89.8,90.5,91.0,91.4,91.7,91.8,92.0,92.0,92.1,92.1,92.1,92.0,91.8,91.7,91.6,91.4,91.2,90.9
85,87.0,88.1,89.0,89.7,90.1,90.5,90.8,91.1,91.3,91.4,91.5,91.5,91.5,91.5,91.5,91.4,91.3,91.2,91.1,90.9
90,87.2,88.0,88.6,89.1,89.5,89.9,90.2,90.4,90.6,90.7,90.8,90.9,91.0,91.0,91.1,91.1,91.1,91.0,91.0,90.9
95,88.3,88.7,88.9,89.2,89.4,89.6,89.8,90.0,90.1,90.2,90.4,90.5,90.6,90.7,90.7,90.8,90.8,90.9,90.9,90.9
98,89.7,89.8,89.9,90.0,90.1,90.2,90.3,90.3,90.4,90.5,90.5,90.6,90.6,90.7,90.7,90.8,90.8,90.9,90.9,90.9
