non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.3,99.5,99.6,99.5,99.5,99.4,99.2,98.9,98.5,98.1,97.5,96.9,96.3,95.7,95.0,94.3,93.6,92.8,92.1,91.3
35,98.8,99.2,99.3,99.2,99.2,99.1,99.0,98.7,98.3,97.9,97.3,96.8,96.2,95.6,94.9,94.2,93.5,92.8,92.0,91.3
40,98.2,98.7,98.8,98.9,98.9,98.9,98.7,98.5,98.1,97.7,97.2,96.6,96.0,95.4,94.8,94.1,93.5,92.7,92.0,91.3
45,97.4,98.1,98.5,98.6,98.6,98.6,98.4,98.2,97.8,97.4,96.9,96.4,95.8,95.3,94.7,94.0,93.4,92.7,92.0,91.3
50,96.7,97.7,98.1,98.2,98.3,98.2,98.1,97.8,97.4,97.0,96.6,96.1,95.6,95.1,94.5,93.9,93.3,92.6,92.0,91.3
55,96.2,97.2,97.6,97.8,97.9,97.8,97.6,97.3,97.0,96.6,96.2,95.8,95.3,94.8,94.3,93.8,93.2,92.6,91.9,91.3
60,95.8,96.7,97.1,97.3,97.3,97.2,97.0,96.8,96.5,96.2,95.8,95.4,95.0,94.6,94.1,93.6,93.0,92.5,91.9,91.3
65,95.3,96.1,96.5,96.6,96.6,96.5,96.3,96.2,95.9,95.6,95.3,95.0,94.6,94.2,93.8,93.4,92.9,92.4,91.8,91.3
70,94.5,95.3,95.6,95.7,95.7,95.7,95.6,95.5,95.3,95.1,94.8,94.5,94.2,93.9,93.5,93.1,92.7,92.2,91.8,91.3
75,93.6,94.2,94.5,94.7,94.8,94.8,94.8,94.7,94.6,94.4,94.2,94.0,93.8,93.5,93.2,92.8,92.5,92.1,91.7,91.3
80,92.6,93.1,93.5,93.7,93.8,93.9,93.9,93.9,93.8,93.7,93.6,93.4,93.2,93.0,92.8,92.5,92.2,91.9,91.6,91.3
85,91.7,92.1,92.4,92.6,92.8,92.9,93.0,93.0,93.0,92.9,92.9,92.8,92.6,92.5,92.3,92.2,92.0,91.8,91.5,91.3
90,91.0,91.3,91.6,91.7,91.9,92.0,92.0,92.1,92.1,92.1,92.1,92.1,92.0,91.9,91.9,91.8,91.7,91.6,91.4,91.3
95,90.7,90.8,91.0,91.0,91.1,91.2,91.2,91.3,91.3,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.3,91.3
98,90.9,91.0,91.0,91.0,91.1,91.1,91.1,91.1,91.2,91.2,91.2,91.2,91.2,91.2,91.3,91.3,91.3,91.3,91.3,91.3
