non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,93.3,95.6,96.4,96.6,96.3,95.6,94.7,93.8,92.9,92.0,91.0,89.9,88.8,87.8,86.6,85.5,84.3,83.2,82.0,80.8
35,91.8,94.4,95.4,95.7,95.5,94.8,94.1,93.3,92.5,91.6,90.7,89.7,88.6,87.6,86.5,85.4,84.3,83.1,82.0,80.8
40,90.2,93.1,94.3,94.7,94.5,94.0,93.4,92.7,92.0,91.2,90.4,89.4,88.4,87.4,86.3,85.3,84.2,83.1,82.0,80.8
45,88.6,91.8,93.1,93.5,93.4,93.1,92.6,92.1,91.5,90.8,89.9,89.0,88.1,87.1,86.2,85.1,84.1,83.0,81.9,80.8
50,86.9,90.3,91.6,92.1,92.2,92.1,91.8,91.4,90.9,90.2,89.5,88.6,87.7,86.9,85.9,85.0,84.0,82.9,81.9,80.8
55,84.9,88.3,89.9,90.6,91.0,91.1,90.9,90.6,90.2,89.6,88.9,88.1,87.4,86.6,85.7,84.8,83.8,82.9,81.9,80.8
60,82.7,86.4,88.2,89.2,89.7,89.9,89.9,89.7,89.3,88.8,88.2,87.6,86.9,86.2,85.4,84.6,83.7,82.8,81.8,80.8
65,80.9,84.6,86.7,87.7,88.4,88.6,88.7,88.6,88.3,87.9,87.5,86.9,86.4,85.7,85.0,84.3,83.5,82.6,81.8,80.8
70,79.6,83.0,85.0,86.2,86.8,87.2,87.4,87.4,87.2,87.0,86.6,86.2,85.7,85.2,84.6,84.0,83.2,82.5,81.7,80.8
75,78.3,81.4,83.2,84.4,85.2,85.7,85.9,86.0,86.0,85.8,85.6,85.3,85.0,84.6,84.1,83.5,82.9,82.3,81.6,80.8
80,77.2,79.8,81.5,82.7,83.5,84.0,84.3,84.5,84.6,84.6,84.5,84.4,84.1,83.8,83.5,83.1,82.6,82.0,81.5,80.8
85,76.6,78.5,79.9,80.9,81.7,82.2,82.7,83.0,83.2,83.3,83.3,83.3,83.2,83.0,82.8,82.5,82.1,81.7,81.3,80.8
90,76.4,77.7,78.7,79.5,80.2,80.7,81.1,81.4,81.7,81.9,82.0,82.1,82.1,82.0,81.9,81.8,81.6,81.4,81.1,80.8
95,77.6,78.1,78.6,79.0,79.4,79.7,80.0,80.3,80.5,80.6,80.8,80.9,80.9,81.0,81.0,81.0,81.0,81.0,80.9,80.8
98,79.5,79.7,79.8,79.9,80.0,80.1,80.2,80.3,80.4,80.5,80.5,80.6,80.6,80.7,80.7,80.8,80.8,80.8,80.8,80.8
