non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,98.5,99.0,99.1,99.0,98.7,98.4,98.0,97.4,96.8,96.1,95.3,94.5,93.6,92.6,91.6,90.6,89.5,88.4,87.3,86.1
35,97.8,98.5,98.6,98.6,98.4,98.1,97.7,97.1,96.5,95.9,95.1,94.3,93.4,92.5,91.5,90.5,89.4,88.4,87.3,86.1
40,96.9,97.8,98.1,98.1,98.0,97.7,97.3,96.8,96.2,95.6,94.9,94.1,93.3,92.4,91.4,90.4,89.4,88.3,87.2,86.1
45,95.9,97.1,97.5,97.6,97.5,97.2,96.8,96.4,95.9,95.3,94.6,93.8,93.0,92.2,91.3,90.3,89.3,88.3,87.2,86.1
50,94.9,96.3,96.7,96.9,96.8,96.6,96.3,95.9,95.4,94.9,94.2,93.6,92.8,92.0,91.1,90.2,89.2,88.2,87.2,86.1
55,93.7,95.3,95.9,96.1,96.1,95.9,95.7,95.3,94.9,94.4,93.8,93.2,92.5,91.7,90.9,90.0,89.1,88.1,87.1,86.1
60,92.5,94.1,94.9,95.1,95.2,95.1,95.0,94.7,94.3,93.9,93.4,92.8,92.1,91.4,90.6,89.8,88.9,88.0,87.1,86.1
65,91.2,92.9,93.7,94.1,94.3,94.3,94.1,93.9,93.6,93.2,92.8,92.3,91.7,91.0,90.3,89.6,88.8,87.9,87.1,86.1
70,89.9,91.6,92.5,92.9,93.2,93.2,93.2,93.0,92.8,92.5,92.1,91.7,91.2,90.6,90.0,89.3,88.6,87.8,87.0,86.1
75,88.7,90.2,91.2,91.7,92.0,92.1,92.1,92.0,91.9,91.6,91.3,91.0,90.5,90.1,89.5,88.9,88.3,87.6,86.9,86.1
80,87.7,89.0,89.8,90.3,90.7,90.9,90.9,90.9,90.8,90.6,90.4,90.1,89.8,89.4,89.0,88.5,88.0,87.4,86.8,86.1
85,86.9,87.8,88.5,89.0,89.3,89.5,89.6,89.6,89.6,89.5,89.4,89.2,88.9,88.7,88.3,88.0,87.6,87.1,86.6,86.1
90,86.3,86.8,87.3,87.6,87.9,88.0,88.2,88.2,88.3,88.2,88.2,88.1,87.9,87.8,87.6,87.3,87.1,86.8,86.5,86.1
95,85.9,86.1,86.3,86.5,86.6,86.7,86.8,86.8,86.8,86.9,86.9,86.8,86.8,86.8,86.7,86.6,86.5,86.4,86.3,86.1
98,86.1,86.2,86.2,86.2,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.3,86.2,86.2,86.2,86.2,86.1
