non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,86.2,81.3,73.3,65.5,58.7,53.0,48.3,44.2,40.8,37.9,35.3,33.1,31.1,29.4,27.8,26.4,25.1,24.0,22.9,21.9
35,81.6,78.7,71.7,64.5,58.0,52.5,47.9,44.0,40.6,37.7,35.2,33.0,31.0,29.3,27.8,26.4,25.1,23.9,22.9,21.9
40,76.4,75.5,69.6,63.1,57.1,51.9,47.4,43.6,40.3,37.5,35.0,32.9,30.9,29.2,27.7,26.3,25.1,23.9,22.9,21.9
45,70.7,71.7,67.2,61.4,55.9,51.0,46.8,43.1,40.0,37.2,34.8,32.7,30.8,29.1,27.6,26.3,25.0,23.9,22.9,21.9
50,64.7,67.5,64.2,59.4,54.5,50.0,46.0,42.6,39.5,36.9,34.6,32.5,30.7,29.0,27.5,26.2,25.0,23.9,22.9,21.9
55,58.6,62.8,60.9,57.0,52.7,48.7,45.1,41.8,39.0,36.5,34.2,32.3,30.5,28.9,27.4,26.1,24.9,23.9,22.9,21.9
60,52.8,57.8,57.1,54.2,50.7,47.1,43.9,40.9,38.3,35.9,33.8,31.9,30.2,28.7,27.3,26.0,24.9,23.8,22.8,21.9
65,47.3,52.6,53.0,51.1,48.3,45.3,42.5,39.8,37.4,35.3,33.3,31.5,29.9,28.4,27.1,25.9,24.8,23.8,22.8,21.9
70,42.2,47.3,48.6,47.6,45.6,43.2,40.8,38.5,36.4,34.4,32.6,31.0,29.5,28.1,26.9,25.7,24.7,23.7,22.8,21.9
75,37.8,42.2,43.9,43.7,42.4,40.7,38.8,36.9,35.1,33.4,31.8,30.4,29.0,27.8,26.6,25.5,24.5,23.6,22.7,21.9
80,34.0,37.5,39.1,39.4,38.8,37.7,36.4,34.9,33.5,32.1,30.8,29.5,28.3,27.2,26.2,25.2,24.3,23.5,22.7,21.9
85,30.8,33.1,34.3,34.8,34.7,34.2,33.4,32.5,31.4,30.4,29.4,28.4,27.4,26.5,25.7,24.8,24.1,23.3,22.6,21.9
90,27.9,29.2,29.9,30.3,30.3,30.2,29.8,29.3,28.8,28.2,27.5,26.8,26.2,25.5,24.9,24.2,23.6,23.0,22.5,21.9
95,25.3,25.6,25.8,25.9,26.0,25.9,25.8,25.6,25.4,25.2,24.9,24.6,24.3,24.0,23.6,23.3,23.0,22.6,22.3,21.9
98,23.8,23.8,23.8,23.7,23.7,23.6,23.5,23.4,23.3,23.2,23.1,23.0,22.9,22.8,22.6,22.5,22.4,22.2,22.1,21.9
