non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,94.0,94.9,93.4,91.0,88.1,85.0,81.8,78.7,75.5,72.6,69.7,67.0,64.5,62.1,59.8,57.7,55.7,53.8,52.1,50.5
35,91.2,93.0,91.9,89.8,87.2,84.2,81.2,78.2,75.2,72.3,69.5,66.8,64.3,62.0,59.7,57.6,55.7,53.8,52.1,50.5
40,88.1,90.5,90.1,88.3,86.0,83.3,80.5,77.6,74.7,71.9,69.2,66.6,64.1,61.8,59.6,57.6,55.6,53.8,52.1,50.5
45,84.5,87.7,87.9,86.5,84.5,82.1,79.5,76.8,74.0,71.4,68.8,66.3,63.9,61.6,59.5,57.5,55.5,53.7,52.0,50.5
50,80.8,84.6,85.2,84.4,82.8,80.7,78.3,75.8,73.3,70.7,68.3,65.9,63.6,61.4,59.3,57.3,55.5,53.7,52.0,50.5
55,77.1,81.1,82.2,81.9,80.7,79.0,76.9,74.6,72.3,70.0,67.6,65.4,63.2,61.1,59.1,57.2,55.3,53.6,52.0,50.5
60,73.2,77.5,79.0,79.1,78.3,76.9,75.2,73.2,71.1,69.0,66.9,64.7,62.7,60.7,58.8,56.9,55.2,53.5,51.9,50.5
65,69.6,73.8,75.4,75.8,75.5,74.5,73.2,71.5,69.7,67.8,65.9,63.9,62.0,60.2,58.4,56.7,55.0,53.4,51.9,50.5
70,66.1,69.9,71.7,72.3,72.3,71.7,70.8,69.5,68.0,66.4,64.7,63.0,61.3,59.6,57.9,56.3,54.8,53.3,51.8,50.5
75,62.7,66.0,67.8,68.6,68.8,68.5,67.9,67.1,65.9,64.7,63.3,61.8,60.3,58.8,57.3,55.9,54.5,53.1,51.7,50.5
80,59.6,62.2,63.8,64.7,65.1,65.1,64.8,64.2,63.4,62.5,61.4,60.3,59.1,57.8,56.6,55.3,54.0,52.8,51.6,50.5
85,56.8,58.7,60.0,60.8,61.2,61.4,61.3,61.0,60.5,59.9,59.1,58.3,57.4,56.5,55.5,54.5,53.5,52.5,51.4,50.5
90,54.5,55.6,56.4,57.0,57.3,57.5,57.5,57.4,57.2,56.8,56.4,55.9,55.4,54.7,54.1,53.4,52.7,51.9,51.2,50.5
95,52.5,52.9,53.2,53.3,53.5,53.6,53.6,53.6,53.5,53.4,53.2,53.0,52.8,52.5,52.2,51.9,51.6,51.2,50.8,50.5
98,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.6,51.6,51.5,51.4,51.3,51.3,51.2,51.1,51.0,50.8,50.7,50.6,50.5
