non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.7,99.8,99.8,99.8,99.7,99.6,99.4,99.1,98.8,98.5,98.1,97.7,97.2,96.7,96.1,95.5,94.9,94.2,93.5,92.7
35,99.5,99.6,99.7,99.6,99.6,99.4,99.3,99.0,98.7,98.4,98.0,97.6,97.2,96.6,96.1,95.5,94.8,94.2,93.4,92.7
40,99.2,99.4,99.5,99.5,99.4,99.3,99.1,98.9,98.6,98.3,97.9,97.5,97.1,96.6,96.0,95.4,94.8,94.1,93.4,92.7
45,98.7,99.1,99.2,99.2,99.2,99.0,98.9,98.7,98.4,98.1,97.8,97.4,97.0,96.5,95.9,95.4,94.7,94.1,93.4,92.7
50,98.2,98.8,98.9,98.9,98.9,98.8,98.6,98.4,98.2,97.9,97.6,97.2,96.8,96.4,95.8,95.3,94.7,94.1,93.4,92.7
55,97.7,98.3,98.5,98.6,98.5,98.5,98.3,98.1,97.9,97.7,97.4,97.0,96.6,96.2,95.7,95.2,94.6,94.0,93.4,92.7
60,97.1,97.8,98.0,98.1,98.1,98.1,97.9,97.8,97.6,97.4,97.1,96.8,96.4,96.0,95.6,95.1,94.5,93.9,93.3,92.7
65,96.4,97.1,97.5,97.6,97.6,97.6,97.5,97.4,97.2,97.0,96.8,96.5,96.2,95.8,95.4,94.9,94.4,93.9,93.3,92.7
70,95.6,96.4,96.8,97.0,97.1,97.1,97.0,96.9,96.8,96.6,96.4,96.1,95.8,95.5,95.1,94.7,94.2,93.8,93.3,92.7
75,94.8,95.6,96.0,96.3,96.4,96.5,96.4,96.4,96.3,96.1,95.9,95.7,95.5,95.2,94.8,94.5,94.1,93.6,93.2,92.7
80,94.1,94.8,95.3,95.5,95.7,95.8,95.8,95.7,95.7,95.5,95.4,95.2,95.0,94.8,94.5,94.2,93.8,93.5,93.1,92.7
85,93.6,94.1,94.4,94.7,94.8,94.9,95.0,95.0,94.9,94.9,94.7,94.6,94.5,94.3,94.1,93.8,93.6,93.3,93.0,92.7
90,93.1,93.4,93.6,93.8,93.9,94.0,94.1,94.1,94.1,94.0,94.0,93.9,93.8,93.7,93.6,93.4,93.3,93.1,92.9,92.7
95,92.7,92.8,92.9,93.0,93.0,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.0,93.0,92.9,92.9,92.8,92.7
98,92.7,92.7,92.7,92.7,92.7,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.7,92.7,92.7,92.7
