non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.4,99.5,99.5,99.4,99.1,98.8,98.3,97.8,97.2,96.4,95.6,94.6,93.6,92.6,91.5,90.4,89.2,88.0,86.8,85.6
35,98.9,99.2,99.2,99.1,98.9,98.6,98.1,97.6,97.0,96.3,95.4,94.5,93.5,92.5,91.4,90.3,89.2,88.0,86.8,85.6
40,98.3,98.8,98.9,98.8,98.6,98.3,97.9,97.4,96.8,96.1,95.3,94.4,93.4,92.4,91.4,90.3,89.1,88.0,86.8,85.6
45,97.5,98.3,98.4,98.4,98.2,97.9,97.5,97.1,96.5,95.8,95.0,94.2,93.2,92.3,91.2,90.2,89.1,87.9,86.8,85.6
50,96.7,97.6,97.8,97.8,97.7,97.5,97.1,96.7,96.2,95.5,94.8,93.9,93.0,92.1,91.1,90.1,89.0,87.9,86.7,85.6
55,95.7,96.8,97.1,97.2,97.1,96.9,96.6,96.2,95.7,95.1,94.4,93.6,92.8,91.9,90.9,89.9,88.9,87.8,86.7,85.6
60,94.5,95.8,96.3,96.4,96.4,96.3,96.0,95.7,95.2,94.6,94.0,93.3,92.5,91.6,90.7,89.8,88.8,87.7,86.7,85.6
65,93.3,94.7,95.3,95.5,95.6,95.5,95.3,95.0,94.5,94.0,93.4,92.8,92.1,91.3,90.4,89.5,88.6,87.6,86.6,85.6
70,92.0,93.5,94.2,94.5,94.6,94.5,94.4,94.1,93.7,93.3,92.8,92.2,91.5,90.8,90.1,89.3,88.4,87.5,86.6,85.6
75,90.8,92.1,92.9,93.2,93.4,93.4,93.3,93.1,92.8,92.4,92.0,91.5,90.9,90.3,89.6,88.9,88.2,87.3,86.5,85.6
80,89.6,90.7,91.4,91.8,92.0,92.0,92.0,91.9,91.6,91.3,91.0,90.6,90.1,89.6,89.1,88.5,87.8,87.1,86.4,85.6
85,88.4,89.2,89.8,90.2,90.4,90.5,90.5,90.4,90.3,90.1,89.8,89.5,89.2,88.8,88.4,87.9,87.4,86.8,86.2,85.6
90,87.3,87.8,88.2,88.4,88.6,88.7,88.8,88.7,88.7,88.6,88.4,88.2,88.0,87.8,87.5,87.2,86.8,86.4,86.0,85.6
95,86.2,86.4,86.6,86.7,86.8,86.8,86.9,86.9,86.9,86.8,86.8,86.7,86.7,86.6,86.4,86.3,86.1,86.0,85.8,85.6
98,86.0,86.0,86.0,86.0,86.1,86.1,86.1,86.0,86.0,86.0,86.0,86.0,85.9,85.9,85.9,85.8,85.8,85.7,85.6,85.6
