non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,96.8,97.8,98.0,97.5,96.5,95.3,94.0,92.5,90.9,89.3,87.7,86.0,84.3,82.7,81.0,79.3,77.7,76.1,74.6,73.1
35,95.5,96.9,97.1,96.7,95.8,94.7,93.5,92.1,90.6,89.0,87.4,85.8,84.1,82.5,80.9,79.3,77.7,76.1,74.6,73.1
40,93.9,95.6,96.0,95.7,95.0,94.0,92.8,91.5,90.1,88.6,87.1,85.5,83.9,82.3,80.7,79.2,77.6,76.1,74.6,73.1
45,92.1,94.2,94.7,94.5,93.9,93.1,92.0,90.8,89.5,88.1,86.6,85.1,83.6,82.1,80.6,79.0,77.5,76.0,74.5,73.1
50,90.3,92.5,93.1,93.1,92.7,92.0,91.1,90.0,88.8,87.5,86.1,84.7,83.3,81.8,80.3,78.9,77.4,75.9,74.5,73.1
55,88.2,90.5,91.3,91.4,91.2,90.7,89.9,89.0,87.9,86.8,85.5,84.2,82.8,81.5,80.1,78.6,77.2,75.8,74.4,73.1
60,85.9,88.3,89.3,89.6,89.6,89.2,88.6,87.8,86.9,85.9,84.7,83.5,82.3,81.0,79.7,78.4,77.0,75.7,74.4,73.1
65,83.5,86.0,87.2,87.7,87.7,87.5,87.0,86.4,85.7,84.8,83.8,82.8,81.7,80.5,79.3,78.1,76.8,75.6,74.3,73.1
70,81.4,83.7,85.0,85.5,85.7,85.6,85.3,84.8,84.2,83.5,82.7,81.8,80.9,79.9,78.8,77.7,76.5,75.4,74.2,73.1
75,79.4,81.4,82.5,83.2,83.5,83.5,83.3,83.0,82.6,82.1,81.4,80.7,79.9,79.1,78.1,77.2,76.2,75.2,74.1,73.1
80,77.4,79.1,80.1,80.8,81.1,81.2,81.2,81.0,80.8,80.4,79.9,79.4,78.8,78.1,77.3,76.5,75.7,74.9,74.0,73.1
85,75.7,76.9,77.7,78.3,78.6,78.8,78.9,78.9,78.7,78.5,78.2,77.8,77.4,76.9,76.3,75.8,75.1,74.5,73.8,73.1
90,74.2,74.9,75.4,75.9,76.2,76.4,76.5,76.5,76.5,76.4,76.3,76.1,75.8,75.5,75.2,74.8,74.4,74.0,73.6,73.1
95,73.1,73.3,73.6,73.8,73.9,74.0,74.1,74.2,74.2,74.2,74.2,74.2,74.1,74.0,73.9,73.8,73.6,73.5,73.3,73.1
98,73.1,73.1,73.2,73.2,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.2,73.2,73.2,73.1,73.1
