non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,99.4,99.6,99.6,99.6,99.6,99.5,99.4,99.2,99.0,98.8,98.5,98.2,97.8,97.4,97.0,96.5,96.1,95.6,95.0,94.5
35,99.1,99.4,99.5,99.5,99.4,99.4,99.2,99.1,98.9,98.7,98.4,98.1,97.7,97.3,96.9,96.5,96.0,95.5,95.0,94.5
40,98.7,99.1,99.2,99.3,99.2,99.2,99.1,98.9,98.7,98.5,98.2,97.9,97.6,97.2,96.8,96.4,96.0,95.5,95.0,94.5
45,98.2,98.8,98.9,99.0,99.0,98.9,98.8,98.7,98.5,98.3,98.1,97.8,97.5,97.1,96.8,96.3,95.9,95.5,95.0,94.5
50,97.7,98.4,98.6,98.7,98.7,98.7,98.6,98.5,98.3,98.1,97.9,97.6,97.3,97.0,96.6,96.3,95.9,95.4,95.0,94.5
55,97.2,98.0,98.2,98.4,98.4,98.4,98.3,98.2,98.1,97.9,97.6,97.4,97.1,96.8,96.5,96.2,95.8,95.4,94.9,94.5
60,96.7,97.5,97.8,98.0,98.0,98.0,98.0,97.9,97.7,97.6,97.4,97.2,96.9,96.7,96.4,96.0,95.7,95.3,94.9,94.5
65,96.2,96.9,97.3,97.5,97.6,97.6,97.6,97.5,97.4,97.2,97.1,96.9,96.7,96.4,96.2,95.9,95.6,95.2,94.9,94.5
70,95.6,96.4,96.8,97.0,97.1,97.1,97.1,97.1,97.0,96.9,96.7,96.6,96.4,96.2,96.0,95.7,95.4,95.1,94.8,94.5
75,95.0,95.7,96.1,96.4,96.5,96.6,96.6,96.6,96.5,96.5,96.4,96.2,96.1,95.9,95.7,95.5,95.3,95.0,94.8,94.5
80,94.5,95.1,95.5,95.7,95.9,96.0,96.0,96.1,96.0,96.0,95.9,95.9,95.8,95.6,95.5,95.3,95.1,94.9,94.7,94.5
85,94.0,94.5,94.8,95.1,95.2,95.4,95.4,95.5,95.5,95.5,95.5,95.4,95.4,95.3,95.2,95.1,94.9,94.8,94.7,94.5
90,93.8,94.1,94.3,94.5,94.6,94.8,94.8,94.9,94.9,95.0,95.0,95.0,94.9,94.9,94.9,94.8,94.7,94.7,94.6,94.5
95,93.8,94.0,94.1,94.2,94.2,94.3,94.4,94.4,94.4,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5
98,94.2,94.2,94.2,94.3,94.3,94.3,94.3,94.4,94.4,94.4,94.4,94.4,94.4,94.5,94.5,94.5,94.5,94.5,94.5,94.5
