non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,82.7,81.2,75.5,69.3,63.6,58.6,54.2,50.4,47.0,44.1,41.4,39.1,37.1,35.2,33.5,32.0,30.6,29.3,28.1,27.0
35,77.8,78.2,73.6,68.0,62.7,58.0,53.7,50.0,46.8,43.9,41.3,39.0,37.0,35.1,33.4,31.9,30.5,29.2,28.1,27.0
40,72.7,74.9,71.5,66.6,61.7,57.2,53.2,49.6,46.4,43.6,41.1,38.9,36.8,35.0,33.4,31.9,30.5,29.2,28.1,27.0
45,67.3,71.3,69.0,64.9,60.5,56.3,52.5,49.1,46.0,43.3,40.9,38.7,36.7,34.9,33.3,31.8,30.5,29.2,28.1,27.0
50,61.8,67.4,66.3,62.9,59.1,55.3,51.7,48.5,45.6,42.9,40.6,38.5,36.5,34.8,33.2,31.7,30.4,29.2,28.0,27.0
55,56.5,63.2,63.2,60.7,57.4,54.0,50.8,47.8,45.0,42.5,40.2,38.2,36.3,34.6,33.1,31.7,30.4,29.1,28.0,27.0
60,51.5,58.8,59.9,58.2,55.5,52.6,49.7,46.9,44.3,42.0,39.8,37.9,36.1,34.4,32.9,31.6,30.3,29.1,28.0,27.0
65,46.7,54.3,56.2,55.4,53.4,50.9,48.3,45.9,43.5,41.3,39.3,37.5,35.8,34.2,32.8,31.4,30.2,29.0,28.0,27.0
70,42.4,49.7,52.3,52.2,50.8,48.9,46.8,44.6,42.5,40.5,38.7,37.0,35.4,33.9,32.5,31.3,30.1,29.0,28.0,27.0
75,38.8,45.1,48.0,48.6,47.9,46.5,44.8,43.1,41.3,39.5,37.9,36.3,34.9,33.5,32.2,31.1,29.9,28.9,27.9,27.0
80,35.5,40.7,43.4,44.5,44.4,43.7,42.5,41.1,39.7,38.3,36.9,35.5,34.2,33.0,31.9,30.8,29.7,28.8,27.9,27.0
85,32.7,36.5,38.7,39.9,40.3,40.1,39.5,38.6,37.6,36.5,35.4,34.4,33.3,32.3,31.3,30.4,29.5,28.6,27.8,27.0
90,30.6,32.8,34.3,35.2,35.7,35.8,35.6,35.2,34.7,34.1,33.4,32.7,31.9,31.2,30.4,29.7,29.0,28.3,27.6,27.0
95,29.1,29.8,30.3,30.7,30.9,31.0,31.0,31.0,30.8,30.6,30.3,30.0,29.7,29.4,29.0,28.6,28.2,27.8,27.4,27.0
98,28.5,28.5,28.6,28.6,28.6,28.6,28.6,28.5,28.5,28.4,28.3,28.2,28.0,27.9,27.8,27.6,27.5,27.3,27.2,27.0
