non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,90.1,86.6,79.2,71.4,64.5,58.6,53.5,49.2,45.5,42.3,39.5,37.1,34.9,33.0,31.3,29.7,28.3,27.1,25.9,24.8
35,86.2,84.3,77.8,70.5,63.9,58.2,53.2,49.0,45.3,42.2,39.4,37.0,34.9,33.0,31.2,29.7,28.3,27.0,25.9,24.8
40,81.6,81.5,75.9,69.3,63.1,57.6,52.8,48.7,45.1,42.0,39.3,36.9,34.8,32.9,31.2,29.7,28.3,27.0,25.9,24.8
45,76.5,78.1,73.7,67.8,62.0,56.8,52.2,48.2,44.8,41.8,39.1,36.8,34.7,32.8,31.1,29.6,28.3,27.0,25.9,24.8
50,71.0,74.2,71.0,65.9,60.7,55.8,51.5,47.7,44.4,41.4,38.9,36.6,34.5,32.7,31.1,29.6,28.2,27.0,25.9,24.8
55,65.3,69.9,67.9,63.7,59.1,54.7,50.6,47.0,43.8,41.1,38.5,36.3,34.4,32.6,31.0,29.5,28.2,27.0,25.8,24.8
60,59.7,65.2,64.4,61.2,57.2,53.2,49.6,46.2,43.2,40.6,38.2,36.1,34.1,32.4,30.8,29.4,28.1,26.9,25.8,24.8
65,54.2,60.2,60.5,58.2,55.0,51.5,48.2,45.2,42.4,39.9,37.7,35.7,33.8,32.2,30.7,29.3,28.0,26.9,25.8,24.8
70,49.1,54.9,56.1,54.7,52.3,49.4,46.6,43.9,41.4,39.2,37.1,35.2,33.5,31.9,30.5,29.1,27.9,26.8,25.8,24.8
75,44.3,49.4,51.1,50.7,49.1,46.9,44.6,42.3,40.1,38.1,36.3,34.6,33.0,31.5,30.2,28.9,27.8,26.7,25.7,24.8
80,40.0,44.1,45.8,46.0,45.2,43.7,42.0,40.2,38.5,36.8,35.2,33.7,32.3,31.0,29.8,28.7,27.6,26.6,25.7,24.8
85,36.2,38.9,40.4,40.8,40.6,39.8,38.8,37.5,36.3,35.0,33.7,32.5,31.4,30.2,29.2,28.2,27.3,26.4,25.6,24.8
90,32.8,34.2,35.0,35.4,35.4,35.1,34.6,33.9,33.2,32.4,31.6,30.8,29.9,29.1,28.3,27.6,26.9,26.1,25.5,24.8
95,29.3,29.7,29.9,30.0,29.9,29.8,29.7,29.4,29.1,28.8,28.5,28.1,27.7,27.3,26.9,26.5,26.1,25.6,25.2,24.8
98,27.2,27.2,27.2,27.1,27.0,27.0,26.8,26.7,26.6,26.5,26.3,26.2,26.0,25.9,25.7,25.5,25.4,25.2,25.0,24.8
