non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,97.2,97.7,97.7,97.4,96.8,96.2,95.4,94.4,93.5,92.4,91.2,90.0,88.7,87.4,86.1,84.8,83.4,82.1,80.8,79.4
35,95.1,96.3,96.6,96.4,96.0,95.5,94.7,93.9,93.0,91.9,90.8,89.7,88.5,87.2,85.9,84.6,83.3,82.0,80.7,79.4
40,92.9,94.7,95.2,95.2,95.0,94.6,94.0,93.2,92.4,91.4,90.4,89.3,88.2,87.0,85.7,84.5,83.2,82.0,80.7,79.4
45,90.7,93.0,93.7,94.0,94.0,93.7,93.2,92.5,91.7,90.9,89.9,88.9,87.8,86.7,85.5,84.3,83.1,81.9,80.7,79.4
50,88.5,91.2,92.2,92.7,92.8,92.6,92.2,91.7,91.0,90.2,89.4,88.4,87.4,86.4,85.3,84.1,83.0,81.8,80.6,79.4
55,86.5,89.4,90.7,91.3,91.5,91.5,91.2,90.7,90.2,89.5,88.7,87.9,87.0,86.0,85.0,83.9,82.8,81.7,80.6,79.4
60,84.6,87.5,89.0,89.8,90.2,90.2,90.0,89.6,89.2,88.6,88.0,87.3,86.4,85.6,84.6,83.6,82.6,81.6,80.5,79.4
65,82.9,85.8,87.4,88.3,88.6,88.7,88.7,88.5,88.1,87.7,87.2,86.6,85.8,85.1,84.2,83.3,82.4,81.4,80.5,79.4
70,81.4,84.1,85.6,86.5,87.0,87.2,87.2,87.2,87.0,86.6,86.2,85.7,85.1,84.5,83.7,83.0,82.1,81.3,80.4,79.4
75,80.2,82.4,83.8,84.7,85.2,85.6,85.8,85.8,85.7,85.5,85.2,84.8,84.3,83.8,83.2,82.5,81.8,81.1,80.3,79.4
80,78.9,80.8,82.0,82.9,83.5,84.0,84.2,84.3,84.3,84.2,84.0,83.7,83.4,83.0,82.5,82.0,81.4,80.8,80.1,79.4
85,78.1,79.5,80.5,81.3,81.9,82.3,82.6,82.8,82.8,82.8,82.7,82.5,82.3,82.1,81.7,81.4,81.0,80.5,80.0,79.4
90,77.8,78.6,79.3,79.9,80.4,80.7,80.9,81.1,81.2,81.3,81.3,81.2,81.1,81.0,80.9,80.6,80.4,80.1,79.8,79.4
95,78.0,78.4,78.7,78.9,79.1,79.3,79.5,79.6,79.7,79.8,79.9,79.9,79.9,79.9,79.9,79.8,79.8,79.7,79.6,79.4
98,79.0,79.0,79.1,79.2,79.2,79.3,79.3,79.4,79.4,79.4,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.4
