non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,93.5,94.8,94.6,93.7,92.3,90.6,88.7,86.5,84.3,82.1,79.8,77.6,75.4,73.3,71.3,69.4,67.5,65.8,64.1,62.5
35,90.2,92.6,92.9,92.3,91.1,89.6,87.8,85.9,83.8,81.6,79.5,77.3,75.2,73.1,71.2,69.3,67.5,65.7,64.0,62.5
40,87.0,90.2,91.0,90.7,89.7,88.4,86.8,85.0,83.1,81.1,79.0,77.0,74.9,72.9,71.0,69.1,67.4,65.7,64.0,62.5
45,83.7,87.6,88.8,88.8,88.1,87.1,85.7,84.1,82.3,80.4,78.5,76.5,74.6,72.7,70.8,69.0,67.3,65.6,64.0,62.5
50,80.5,84.8,86.4,86.8,86.4,85.5,84.4,83.0,81.4,79.7,77.9,76.0,74.2,72.3,70.5,68.8,67.1,65.5,64.0,62.5
55,77.3,82.0,83.9,84.5,84.4,83.9,83.0,81.8,80.3,78.8,77.1,75.4,73.7,72.0,70.3,68.6,67.0,65.4,63.9,62.5
60,74.4,79.1,81.1,82.0,82.2,82.0,81.3,80.3,79.2,77.8,76.3,74.7,73.1,71.5,69.9,68.3,66.8,65.3,63.9,62.5
65,71.8,76.1,78.3,79.5,79.9,79.9,79.5,78.7,77.8,76.6,75.3,73.9,72.4,71.0,69.5,68.0,66.6,65.2,63.8,62.5
70,69.2,73.2,75.5,76.8,77.4,77.6,77.4,76.9,76.2,75.3,74.2,72.9,71.6,70.3,69.0,67.7,66.3,65.0,63.7,62.5
75,67.0,70.6,72.8,74.1,74.8,75.1,75.1,74.8,74.3,73.6,72.7,71.7,70.7,69.5,68.4,67.2,66.0,64.8,63.6,62.5
80,65.3,68.1,70.0,71.3,72.1,72.5,72.6,72.5,72.2,71.7,71.0,70.3,69.4,68.5,67.6,66.6,65.6,64.5,63.5,62.5
85,63.9,66.0,67.5,68.6,69.3,69.7,69.9,69.9,69.8,69.5,69.0,68.5,67.9,67.2,66.5,65.8,65.0,64.2,63.3,62.5
90,63.0,64.3,65.2,65.9,66.4,66.8,67.0,67.1,67.0,66.9,66.7,66.4,66.1,65.7,65.2,64.7,64.2,63.6,63.1,62.5
95,62.3,62.8,63.1,63.4,63.6,63.8,63.9,64.0,64.1,64.1,64.1,64.0,63.9,63.8,63.6,63.4,63.2,63.0,62.7,62.5
98,62.6,62.7,62.8,62.8,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.8,62.8,62.7,62.7,62.6,62.5,62.5
