non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,93.8,95.9,96.7,97.0,97.0,96.6,95.8,95.0,94.2,93.4,92.6,91.7,90.8,89.8,88.9,87.9,86.9,85.9,84.9,83.9
35,92.4,94.9,95.8,96.2,96.3,95.9,95.2,94.5,93.8,93.1,92.3,91.5,90.6,89.7,88.7,87.8,86.8,85.9,84.9,83.9
40,91.0,93.8,94.9,95.4,95.4,95.1,94.5,93.9,93.3,92.7,92.0,91.2,90.4,89.5,88.6,87.7,86.8,85.8,84.8,83.9
45,89.7,92.7,93.9,94.5,94.4,94.2,93.8,93.3,92.8,92.3,91.6,90.9,90.1,89.2,88.4,87.6,86.7,85.8,84.8,83.9
50,88.2,91.4,92.8,93.3,93.3,93.3,93.0,92.7,92.3,91.8,91.2,90.5,89.8,89.0,88.2,87.4,86.6,85.7,84.8,83.9
55,86.9,90.0,91.3,91.9,92.2,92.2,92.2,91.9,91.6,91.2,90.7,90.1,89.4,88.7,87.9,87.2,86.4,85.6,84.7,83.9
60,85.0,88.2,89.7,90.6,91.0,91.2,91.2,91.1,90.9,90.5,90.1,89.6,88.9,88.3,87.7,87.0,86.3,85.5,84.7,83.9
65,83.2,86.4,88.2,89.2,89.8,90.1,90.2,90.2,90.0,89.7,89.4,88.9,88.4,87.9,87.3,86.7,86.1,85.4,84.6,83.9
70,81.7,85.0,86.7,87.8,88.5,88.9,89.1,89.1,89.1,88.8,88.6,88.2,87.8,87.4,86.9,86.4,85.8,85.2,84.6,83.9
75,80.8,83.5,85.3,86.4,87.1,87.6,87.9,88.0,87.9,87.9,87.7,87.4,87.1,86.8,86.4,86.0,85.6,85.0,84.5,83.9
80,80.0,82.3,83.8,84.9,85.6,86.2,86.5,86.6,86.7,86.8,86.7,86.6,86.4,86.2,85.9,85.6,85.2,84.8,84.4,83.9
85,79.5,81.2,82.5,83.4,84.1,84.6,85.0,85.3,85.5,85.6,85.6,85.6,85.5,85.4,85.3,85.1,84.9,84.6,84.2,83.9
90,79.5,80.6,81.5,82.2,82.8,83.3,83.6,83.9,84.2,84.3,84.5,84.6,84.6,84.6,84.6,84.5,84.4,84.3,84.1,83.9
95,80.6,81.1,81.5,81.9,82.2,82.5,82.8,83.0,83.2,83.4,83.5,83.6,83.7,83.8,83.9,83.9,83.9,83.9,83.9,83.9
98,82.4,82.6,82.7,82.8,82.9,83.1,83.2,83.2,83.3,83.4,83.5,83.5,83.6,83.7,83.7,83.7,83.8,83.8,83.9,83.9
