non_dcia_cn,dcia_0,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,0.008,0.048,0.088,0.128,0.168,0.208,0.248,0.288,0.328,0.368,0.408,0.448,0.488,0.528,0.568,0.608,0.648,0.688,0.728,0.768,0.808
35,0.012,0.052,0.092,0.132,0.171,0.211,0.251,0.291,0.331,0.370,0.410,0.450,0.490,0.529,0.569,0.609,0.649,0.689,0.728,0.768,0.808
40,0.018,0.057,0.097,0.136,0.176,0.215,0.255,0.294,0.334,0.373,0.413,0.452,0.492,0.531,0.571,0.611,0.650,0.690,0.729,0.769,0.808
45,0.025,0.064,0.103,0.142,0.182,0.221,0.260,0.299,0.338,0.377,0.417,0.456,0.495,0.534,0.573,0.612,0.651,0.691,0.730,0.769,0.808
50,0.034,0.072,0.111,0.150,0.189,0.227,0.266,0.305,0.343,0.382,0.421,0.460,0.498,0.537,0.576,0.614,0.653,0.692,0.731,0.769,0.808
55,0.044,0.082,0.121,0.159,0.197,0.235,0.273,0.312,0.350,0.388,0.426,0.464,0.502,0.541,0.579,0.617,0.655,0.693,0.732,0.770,0.808
60,0.057,0.095,0.132,0.170,0.207,0.245,0.282,0.320,0.357,0.395,0.433,0.470,0.508,0.545,0.583,0.620,0.658,0.695,0.733,0.770,0.808
65,0.073,0.110,0.147,0.183,0.220,0.257,0.294,0.330,0.367,0.404,0.441,0.477,0.514,0.551,0.588,0.624,0.661,0.698,0.735,0.771,0.808
70,0.093,0.129,0.165,0.201,0.236,0.272,0.308,0.344,0.379,0.415,0.451,0.486,0.522,0.558,0.594,0.629,0.665,0.701,0.737,0.772,0.808
75,0.120,0.155,0.189,0.223,0.258,0.292,0.327,0.361,0.395,0.430,0.464,0.498,0.533,0.567,0.602,0.636,0.670,0.705,0.739,0.774,0.808
80,0.157,0.189,0.222,0.254,0.287,0.319,0.352,0.385,0.417,0.450,0.482,0.515,0.547,0.580,0.613,0.645,0.678,0.710,0.743,0.775,0.808
85,0.209,0.239,0.269,0.299,0.329,0.359,0.389,0.419,0.449,0.479,0.509,0.538,0.568,0.598,0.628,0.658,0.688,0.718,0.748,0.778,0.808
90,0.292,0.318,0.343,0.369,0.395,0.421,0.447,0.472,0.498,0.524,0.550,0.576,0.602,0.627,0.653,0.679,0.705,0.731,0.756,0.782,0.808
95,0.445,0.464,0.482,0.500,0.518,0.536,0.554,0.572,0.590,0.609,0.627,0.645,0.663,0.681,0.699,0.717,0.736,0.754,0.772,0.790,0.808
98,0.614,0.624,0.633,0.643,0.653,0.662,0.672,0.682,0.692,0.701,0.711,0.721,0.730,0.740,0.750,0.760,0.769,0.779,0.789,0.798,0.808
