non_dcia_cn,dcia_0,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,0.006,0.048,0.090,0.132,0.175,0.217,0.259,0.301,0.343,0.386,0.428,0.470,0.512,0.554,0.596,0.639,0.681,0.723,0.765,0.807,0.849
35,0.009,0.051,0.093,0.135,0.177,0.219,0.261,0.303,0.345,0.387,0.429,0.471,0.513,0.555,0.597,0.639,0.681,0.723,0.765,0.807,0.849
40,0.014,0.056,0.098,0.139,0.181,0.223,0.265,0.307,0.348,0.390,0.432,0.474,0.515,0.557,0.599,0.641,0.682,0.724,0.766,0.808,0.849
45,0.020,0.062,0.103,0.145,0.186,0.228,0.269,0.311,0.352,0.394,0.435,0.476,0.518,0.559,0.601,0.642,0.684,0.725,0.767,0.808,0.849
50,0.029,0.070,0.111,0.152,0.193,0.234,0.275,0.316,0.357,0.398,0.439,0.480,0.521,0.562,0.603,0.644,0.685,0.726,0.767,0.808,0.849
55,0.039,0.079,0.120,0.161,0.201,0.242,0.282,0.323,0.363,0.404,0.444,0.485,0.525,0.566,0.606,0.647,0.687,0.728,0.768,0.809,0.849
60,0.052,0.092,0.132,0.172,0.212,0.252,0.291,0.331,0.371,0.411,0.451,0.491,0.531,0.570,0.610,0.650,0.690,0.730,0.770,0.810,0.849
65,0.069,0.108,0.147,0.186,0.225,0.264,0.303,0.342,0.381,0.420,0.459,0.498,0.537,0.576,0.615,0.654,0.693,0.732,0.771,0.810,0.849
70,0.092,0.130,0.167,0.205,0.243,0.281,0.319,0.357,0.395,0.433,0.471,0.508,0.546,0.584,0.622,0.660,0.698,0.736,0.774,0.812,0.849
75,0.121,0.158,0.194,0.230,0.267,0.303,0.340,0.376,0.412,0.449,0.485,0.522,0.558,0.595,0.631,0.667,0.704,0.740,0.777,0.813,0.849
80,0.162,0.196,0.230,0.265,0.299,0.334,0.368,0.402,0.437,0.471,0.506,0.540,0.574,0.609,0.643,0.678,0.712,0.746,0.781,0.815,0.849
85,0.220,0.252,0.283,0.315,0.346,0.378,0.409,0.441,0.472,0.503,0.535,0.566,0.598,0.629,0.661,0.692,0.724,0.755,0.787,0.818,0.849
90,0.312,0.339,0.366,0.393,0.419,0.446,0.473,0.500,0.527,0.554,0.581,0.608,0.634,0.661,0.688,0.715,0.742,0.769,0.796,0.823,0.849
95,0.478,0.496,0.515,0.533,0.552,0.571,0.589,0.608,0.626,0.645,0.664,0.682,0.701,0.719,0.738,0.757,0.775,0.794,0.812,0.831,0.849
98,0.656,0.666,0.676,0.685,0.695,0.705,0.714,0.724,0.734,0.743,0.753,0.763,0.772,0.782,0.792,0.801,0.811,0.821,0.830,0.840,0.849
