non_dcia_cn,dcia_0,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,0.002,0.043,0.083,0.123,0.164,0.204,0.244,0.285,0.325,0.366,0.406,0.446,0.487,0.527,0.567,0.608,0.648,0.688,0.729,0.769,0.809
35,0.004,0.044,0.085,0.125,0.165,0.205,0.246,0.286,0.326,0.366,0.407,0.447,0.487,0.528,0.568,0.608,0.648,0.689,0.729,0.769,0.809
40,0.007,0.047,0.087,0.127,0.167,0.207,0.248,0.288,0.328,0.368,0.408,0.448,0.488,0.528,0.569,0.609,0.649,0.689,0.729,0.769,0.809
45,0.010,0.050,0.090,0.130,0.170,0.210,0.250,0.290,0.330,0.370,0.410,0.450,0.490,0.530,0.570,0.610,0.650,0.690,0.729,0.769,0.809
50,0.015,0.055,0.095,0.134,0.174,0.214,0.254,0.293,0.333,0.373,0.412,0.452,0.492,0.531,0.571,0.611,0.651,0.690,0.730,0.770,0.809
55,0.022,0.061,0.101,0.140,0.179,0.219,0.258,0.298,0.337,0.376,0.416,0.455,0.494,0.534,0.573,0.613,0.652,0.691,0.731,0.770,0.809
60,0.030,0.069,0.108,0.147,0.186,0.225,0.264,0.303,0.342,0.381,0.420,0.459,0.498,0.537,0.576,0.615,0.654,0.693,0.731,0.770,0.809
65,0.042,0.080,0.119,0.157,0.195,0.234,0.272,0.311,0.349,0.387,0.426,0.464,0.502,0.541,0.579,0.618,0.656,0.694,0.733,0.771,0.809
70,0.057,0.095,0.133,0.170,0.208,0.245,0.283,0.321,0.358,0.396,0.433,0.471,0.509,0.546,0.584,0.621,0.659,0.697,0.734,0.772,0.809
75,0.079,0.116,0.152,0.189,0.225,0.262,0.298,0.335,0.371,0.408,0.444,0.481,0.517,0.554,0.590,0.627,0.663,0.700,0.736,0.773,0.809
80,0.111,0.146,0.181,0.216,0.251,0.285,0.320,0.355,0.390,0.425,0.460,0.495,0.530,0.565,0.600,0.635,0.670,0.705,0.740,0.774,0.809
85,0.160,0.192,0.225,0.257,0.290,0.322,0.355,0.387,0.420,0.452,0.485,0.517,0.550,0.582,0.614,0.647,0.679,0.712,0.744,0.777,0.809
90,0.242,0.270,0.299,0.327,0.355,0.384,0.412,0.440,0.469,0.497,0.526,0.554,0.582,0.611,0.639,0.667,0.696,0.724,0.753,0.781,0.809
95,0.404,0.424,0.444,0.464,0.485,0.505,0.525,0.546,0.566,0.586,0.606,0.627,0.647,0.667,0.688,0.708,0.728,0.749,0.769,0.789,0.809
98,0.595,0.605,0.616,0.627,0.638,0.648,0.659,0.670,0.680,0.691,0.702,0.713,0.723,0.734,0.745,0.756,0.766,0.777,0.788,0.799,0.809
