non_dcia_cn,dcia_0,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,0.008,0.047,0.087,0.126,0.165,0.205,0.244,0.283,0.323,0.362,0.401,0.441,0.480,0.519,0.559,0.598,0.637,0.677,0.716,0.756,0.795
35,0.012,0.051,0.090,0.129,0.168,0.207,0.247,0.286,0.325,0.364,0.403,0.442,0.482,0.521,0.560,0.599,0.638,0.677,0.717,0.756,0.795
40,0.016,0.055,0.094,0.133,0.172,0.211,0.250,0.289,0.328,0.367,0.406,0.445,0.483,0.522,0.561,0.600,0.639,0.678,0.717,0.756,0.795
45,0.022,0.061,0.099,0.138,0.177,0.215,0.254,0.292,0.331,0.370,0.408,0.447,0.486,0.524,0.563,0.602,0.640,0.679,0.718,0.756,0.795
50,0.029,0.067,0.105,0.144,0.182,0.220,0.259,0.297,0.335,0.374,0.412,0.450,0.488,0.527,0.565,0.603,0.642,0.680,0.718,0.757,0.795
55,0.037,0.075,0.113,0.151,0.189,0.227,0.265,0.302,0.340,0.378,0.416,0.454,0.492,0.530,0.568,0.605,0.643,0.681,0.719,0.757,0.795
60,0.048,0.085,0.123,0.160,0.197,0.235,0.272,0.309,0.347,0.384,0.421,0.459,0.496,0.533,0.571,0.608,0.645,0.683,0.720,0.758,0.795
65,0.061,0.098,0.134,0.171,0.208,0.244,0.281,0.318,0.355,0.391,0.428,0.465,0.501,0.538,0.575,0.611,0.648,0.685,0.721,0.758,0.795
70,0.078,0.114,0.149,0.185,0.221,0.257,0.293,0.329,0.365,0.400,0.436,0.472,0.508,0.544,0.580,0.616,0.651,0.687,0.723,0.759,0.795
75,0.100,0.135,0.170,0.204,0.239,0.274,0.308,0.343,0.378,0.413,0.447,0.482,0.517,0.552,0.586,0.621,0.656,0.691,0.725,0.760,0.795
80,0.131,0.164,0.197,0.231,0.264,0.297,0.330,0.363,0.397,0.430,0.463,0.496,0.529,0.562,0.596,0.629,0.662,0.695,0.728,0.762,0.795
85,0.177,0.208,0.239,0.269,0.300,0.331,0.362,0.393,0.424,0.455,0.486,0.517,0.548,0.579,0.609,0.640,0.671,0.702,0.733,0.764,0.795
90,0.252,0.279,0.306,0.333,0.360,0.388,0.415,0.442,0.469,0.496,0.523,0.550,0.578,0.605,0.632,0.659,0.686,0.713,0.741,0.768,0.795
95,0.399,0.419,0.439,0.458,0.478,0.498,0.518,0.538,0.557,0.577,0.597,0.617,0.637,0.656,0.676,0.696,0.716,0.735,0.755,0.775,0.795
98,0.578,0.589,0.600,0.611,0.622,0.633,0.643,0.654,0.665,0.676,0.687,0.697,0.708,0.719,0.730,0.741,0.752,0.762,0.773,0.784,0.795
